National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Bulgaria	100-Holding Account	E.Miroglio AD 	1	119603547	open	Account holder	E.Miroglio AD	Industrialen		8600	Yambol	Bulgaria	1	E.Miroglio -Yambol	BG-P55	2008-11-30					Industrialen		8600	Yambol	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	3914	6605	6605	8904	6631	7673	8116	7673	8546	8000	6963	5425	7291	5331	7337	5236	8467	5139	8343	5042	NA	4944	NA	4844	NA	4744	NA	0	0	0	6605	8904	7673	7673	8000	5425	5331	5236	5139	5042	4944	4844	4744
Bulgaria	100-Holding Account	E.Miroglio AD 	2	119603547	open	Account holder	E.Miroglio AD	Industrialen		8800	Sliven	Bulgaria	2	E.Miroglio-Sliven	BG-P56	2008-11-30					Industrialen		8800	Sliven	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	16574	6034	6034	16894	5262	14560	5083	14560	5276	15180	4525	14134	6395	13888	3831	13639	5270	13388	6534	13135	NA	12878	NA	12619	NA	12360	NA	0	0	0	6034	16894	14560	14560	15180	14134	13888	13639	13388	13135	12878	12619	12360
Bulgaria	100-Holding Account	Vidahim  AD 	3	815123066	open	Account holder	Vidahim  AD	Ujna Promichlena Zona		3700	Vidin	Bulgaria	3	TEC Vidahim AD	BG-P62	2008-11-30					Ujna Promichlena Zona		3700	Vidin	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	572611	489222	489222	583678	535742	503018	430294	503023	380013	524461	385374	68653/110318****	357554	67458/127954****	303279	66264/106628****	98008	32535/85302****	0	0	NA	0	NA	0	NA	0	NA	0	0	0	489222	583678	503018	503023	524461	178971	195412	172892	117837	0	0	0	0
Bulgaria	100-Holding Account	Toplofikacia Pernik AD 	4	113012360	open	Account holder	Toplofikacia Pernik AD	q.Mochino		2303	Pernik	Bulgaria	4	TEC Republika	BG-P28	2008-11-30					q.Mochino		2303	Pernik	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	768318	553311	553311	663536	402469	571840	421894	571845	487037	596217	453960	218426/172746****	480770	187011/148068****	513948	158179/123390****	456894	131891/98712****	450971	108034	NA	86518	NA	67402	NA	53387	NA	0	0	0	553311	663536	571840	571845	596217	391172	335079	281569	230603	108034	86518	67402	53387
Bulgaria	100-Holding Account	"Trakya Glass Bulgaria" EAD 	5	117606893	open	Account holder	"Trakya Glass Bulgaria" EAD	q.Vabel		7700	Targovichte	Bulgaria	5	"Trakya Glass Bulgaria"	BG-P40	2008-11-30					q.Vabel		7700	Targovichte	BG	NA	NA	31-Manufacture of glass	NA	NA	NA	NA	NA	NA	NA		NA		NA	157307	156774	156774	208195	171310	179424	191975	179426	193088	187073	183615	165862	189825	162980/38304*****	231410	160065/118325*****	315270	157120/138784*****	356858	154144/136236*****	NA	151138/133688*****	NA	148095/131139*****	NA	145041/128592*****	NA	0	0	0	156774	208195	179424	179426	187073	165862	201284	278390	295904	290380	284826	279234	273633
Bulgaria	100-Holding Account	Deven AD 	6	103004325	open	Account holder	Deven AD	Promichlena zona-UG		9160	Devnia	Bulgaria	6	Deven AD	BG-P72	2008-11-30					Promichlena zona-UG		9160	Devnia	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	1622014	1508045	1508045	1653364	925045	1527070	1465565	1849049	1596833	1927854	1612604	130130/163862****	1526718	116454/140453****	1685183	103166/117044****	1455781	90299/93635****	1351671	77835	NA	65775	NA	54106	NA	42855	NA	0	0	0	1508045	1653364	1527070	1849049	1927854	293992	256907	220210	183934	77835	65775	54106	42855
Bulgaria	100-Holding Account	"TOPLOFICATSIA VT" AD 	7	104003977	open	Account holder	"TOPLOFICATSIA VT" AD	str.Nikola Gabrovski 71A		5002	Veliko Tarnovo	Bulgaria	7	" ??PLOFICATSIA  VT"	BG-P89	2008-11-30					str.Nikola Gabrovski 71A		5002	Veliko Tarnovo	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	16143	15947	15947	19359	16812	16684	16195	16684	16072	17395	16552	10188/4344****	15674	8916/3723****	14944	7899/3103****	11908	6913/2482****	13646	5959	NA	5036	NA	4142	NA	3281	NA	0	0	0	15947	19359	16684	16684	17395	14532	12639	11002	9395	5959	5036	4142	3281
Bulgaria	100-Holding Account	'Toplofikacia Sliven' EAD 	8	119004654	open	Account holder	'Toplofikacia Sliven' EAD	str. Stefan Karadja 23		8800	Sliven	Bulgaria	8	Toplofikacia Sliven	BG-P35	2008-11-30					str. Stefan Karadja 23		8800	Sliven	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	282003	232626	232626	34362	205983	29614	205807	62554	224128	119781	250257	58966/77055****	189710	48292/66047****	254438	38814/55039****	229003	30502/44031****	219909	23299	NA	18493	NA	15212	NA	12049	NA	0	0	0	232626	34362	29614	62554	119781	136021	114339	93853	74533	23299	18493	15212	12049
Bulgaria	100-Holding Account	Contour Global Maritsa East 3 	9	130020522	open	Account holder	Contour Global Maritsa East 3	bul Sitnyakovo 48, fl.9		1505	Sofia	Bulgaria	9	TEC ContourGlobal Maritsa East 3	BG-P63	2008-11-30					bul.Al.Stamboliiski 103,et.5		1303	Sofia	BG	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA	4804394	5166302	5166302	7021542	4949791	6051215	6086209	6051270	6482633	6309172	4547624	0/1884763****	3481176	0/1615511****	4113603	0/1346259****	5759680	0/1077007****	4691756		NA		NA		NA		NA	0	0	0	5166302	7021542	6051215	6051270	6309172	1884763	1615511	1346259	1077007	0	0	0	0
Bulgaria	100-Holding Account	"Balgarska Petrolna Rafineria"- EOOD 	10	131184930	open	Account holder	"Balgarska Petrolna Rafineria"- EOOD	str. Stefan Karadja 2		1080	Sofia	Bulgaria	10	Balgarska Petrolna Rafineria	BG-P119	2008-11-30					Zapadna Industrialna zona		5800	Pleven	BG	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	NA		NA		NA	11795	7897	7897	12023	2963	10361	2588	10362	2736	10803	2965	8988	2885	8832	2880	8674	3235	8514	3197	8353	NA	8190	NA	8025	NA	7860	NA	0	0	0	7897	12023	10361	10362	10803	8988	8832	8674	8514	8353	8190	8025	7860
