National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Croatia	100-Holding Account	Wienerberger-Ilovac d.o.o. 	203853	020002278	open	Account holder	Wienerberger-Ilovac d.o.o.	Donje Pokupje 2		47000	Karlovac	Croatia	203853	Pogon Karlovac	HR-317	2011-06-27					Donje Pokupje 2		47000	Karlovac	HR	15.544937	45.529575	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		7837	8499	12352	9390	12132	9472	11909	11456	20484	NA	20083	NA	19679	NA	19273	NA	0	0	0	0	0	0	0	0	7837	12352	12132	11909	20484	20083	19679	19273
Croatia	100-Holding Account	Podravka d.d. 	203859	010006549	open	Account holder	Podravka d.d.	Ante Starčevića 32		48000	Koprivnica	Croatia	203859	Podravka d.d. - lokacija Ante Starčevića 32 Kopr.	HR-279	2011-04-08			Podravka d.d. prehrambena industrija		Ante Starčevića 32		48000	Koprivnica	HR	16.822994	46.166802	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		4867	6027	4356	5182	3858	4859	3376	4784	2908	NA	2455	NA	2018	NA	1596	NA	0	0	0	0	0	0	0	0	4867	4356	3858	3376	2908	2455	2018	1596
Croatia	100-Holding Account	DS Smith Belišće Croatia d.o.o. 	203861	030008963	open	Account holder	DS Smith Belišće Croatia d.o.o.	Vijenac Salamona Heinricha Gutmanna 30		31551	Belišće	Croatia	203861	DS Smith Belišće Croatia d.o.o.	HR-302	2011-08-26					Vijenac Salamona Heinricha Gutmanna 30		31551	Belišće	HR	18.410641	45.685947	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		77196	60634	61802	58794	60698	43214	52808	78139	71743	NA	70342	NA	68926	NA	67505	NA	0	0	0	0	0	0	0	0	77196	61802	60698	52808	71743	70342	68926	67505
Croatia	100-Holding Account	Eko Međimurje d.d. 	203867	070013156	open	Account holder	Eko Međimurje d.d.	Braće Radić 37, Šenkovec		40000	Čakovec	Croatia	203867	Eko Međimurje d.d.	HR-285	2011-12-22					Braće Radić 37, Šenkovec		40000	Čakovec	HR	16.409704	46.410367	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		7506	6549	7377	8834	7245	1466	3036	1579	2978	NA	2920	NA	2862	NA	2802	NA	0	0	0	0	0	0	0	0	7506	7377	7245	3036	2978	2920	2862	2802
Croatia	100-Holding Account	Ferro-Preis d.o.o. 	203870	070039047	open	Account holder	Ferro-Preis d.o.o.	Dr. Tome Bratkovića 2		40000	Čakovec	Croatia	203870	Ferro-Preis d.o.o.	HR-314	2011-08-26					Dr. Tome Bratkovića 2		40000	Čakovec	HR	16.410271	46.383354	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		4069	6108	3998	7859	3926	1413	3855	691	3782	NA	3708	NA	3633	NA	3558	NA	0	0	0	0	0	0	0	0	4069	3998	3926	3855	3782	3708	3633	3558
Croatia	100-Holding Account	HEP-Toplinarstvo d.o.o. 	203875	080396278	open	Account holder	HEP-Toplinarstvo d.o.o.	Miševačka 15a		10000	Zagreb	Croatia	203875	Pogon Osijek	HR-367	2011-03-04					Cara Hadrijan 3		31000	Osijek	HR	18.701461	45.560646	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		45	577	402	1052	338	913	296	605	255	NA	216	NA	177	NA	140	NA	0	0	0	0	0	0	0	0	45	402	338	296	255	216	177	140
Croatia	100-Holding Account	HEP-Proizvodnja d.o.o. 	203878	080434256	open	Account holder	HEP-Proizvodnja d.o.o.	Ulica grada Vukovara 37		10000	Zagreb	Croatia	203878	Te-TO Zagreb	HR-336	2011-06-27					Kuševačka 10a		10000	Zagreb	HR	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		200475	746207	176365	368784	157135	411123	138507	439513	120459	NA	102991	NA	86082	NA	69773	NA	0	0	0	0	0	0	0	0	200475	176365	157135	138507	120459	102991	86082	69773
Croatia	100-Holding Account	HEP-Proizvodnja d.o.o. 	203879	080434256	open	Account holder	HEP-Proizvodnja d.o.o.	Ulica grada Vukovara 37		10000	Zagreb	Croatia	203879	EL-TO Zagreb	HR-332	2011-06-27					Zagorska 1		10000	Zagreb	HR	15.948503	45.808581	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		167026	317752	143701	263612	128557	261850	113884	242724	99665	NA	85899	NA	72571	NA	59713	NA	0	0	0	0	0	0	0	0	167026	143701	128557	113884	99665	85899	72571	59713
Croatia	100-Holding Account	Metalska industrija Varaždin d.d. 	203883	070032908	open	Account holder	Metalska industrija Varaždin d.d.	Fabijanska 33		42000	Varaždin	Croatia	203883	MIV d.d.	HR-274	2013-10-31					Fabijanska 33		42000	Varaždin	HR	16.32292	46.320418	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		1535	709	1508	754	1481	864	1454	828	1426	NA	1399	NA	1370	NA	1342	NA	0	0	0	0	0	0	0	0	1535	1508	1481	1454	1426	1399	1370	1342
Croatia	100-Holding Account	Podravka d.d. 	203888	010006549	open	Account holder	Podravka d.d.	Ante Starčevića 32		48000	Koprivnica	Croatia	203888	Podravka d.d. - lokacija industrijska zona Danica	HR-278	2011-03-09					Đelekovečka 21		48000	Koprivnica	HR	16.845148	46.192809	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	NA		NA		NA		NA		NA		NA		NA		NA		7656	6734	6851	6561	6068	6401	5309	6467	4574	NA	3862	NA	3173	NA	2510	NA	0	0	0	0	0	0	0	0	7656	6851	6068	5309	4574	3862	3173	2510
