National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Cyprus	100-Holding Account	Electricity Authority of Cyprus 	2.1E+14	19101266G	open	Account holder	Electricity Authority of Cyprus	11 Amfipoleos Street		2025	Strovolos	Cyprus	2.1E+14	EAC Vasilikos Power Station	1	09/08/2006					"Vasilikos, 7738, Limassol"		7738	Limassol	CY	35.138515	33.373596	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	NA	1245389	NA	1565277	NA	1676010	1259446	1703920	1396493	1788007	1557277	2082321	1762358	1127595	2019293	420127	0/868904****	1405691	0/757188****	1674982	0/657885****	1807252	0/546169****	1926291	0/434452****	NA	0/322736****	NA	0/198607****	NA	0	NA	0	0	0	1259446	1396493	1557277	1762358	2019293	868904	757188	657885	546169	434452	322736	198607	0
Cyprus	100-Holding Account	Electricity Authority of Cyprus 	2.1E+14	19101266G	open	Account holder	Electricity Authority of Cyprus	11 Amfipoleos Street		2025	Strovolos	Cyprus	2.1E+14	EAC Moni Power Station	2	09/08/2006					"Pyrgos, 4534, Limassol"		4534	Limassol	CY	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	NA	610670	NA	497481	NA	484318	533473	492824	546763	446322	550022	283476	590958	525568	648445	565727	0/482659****	11711	0/420602****	10893	0/365442****	12742	0/303385****	25727	0/241329****	NA	0/179273****	NA	0/110322****	NA	0	NA	0	0	0	533473	546763	550022	590958	648445	482659	420602	365442	303385	241329	179273	110322	0
Cyprus	100-Holding Account	Electricity Authority of Cyprus 	2.1E+14	19101266G	open	Account holder	Electricity Authority of Cyprus	11 Amfipoleos Street		2025	Strovolos	Cyprus	2.1E+14	EAC Dhekelia Power Station	3	09/08/2006					"Dhekelia, 7506, Larnaca"		7506	Larnaca	CY	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	NA	1615785	NA	1590622	NA	1641339	1237780	1770549	1361435	1758138	1417370	1502204	1513658	2074875	1600886	2560075	0/1167514****	1412330	0/1017405****	1254445	0/883975****	1203009	0/733866****	1347983	0/583757****	NA	0/433648****	NA	0/266860****	NA	0	NA	0	0	0	1237780	1361435	1417370	1513658	1600886	1167514	1017405	883975	733866	583757	433648	266860	0
Cyprus	100-Holding Account	Vassiliko Cement Works Public Company Ltd 	2.1E+14	E1210	open	Account holder	Vassiliko Cement Works Public Company Ltd	"Vassiliko Cement Company, Mari, 7736, Larnaca"		7736	Larnaka	Cyprus	2.1E+14	Vasiliko Cement Works Public Company Ltd - Vassilikos Cement Plant	4	09/08/2006					"Mari, 7736, Larnaca"		7736	Larnaca	CY	NA	NA	6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces	NA	NA	NA	NA	NA	NA	NA	1145721	NA	1119609	NA	1139518	1182506	1125221	1182506	1064968	1244479	856827	1368423	740228	1720968	798264	838904/317509*****	1173202	824333/311984*****	1506658	809591/306460*****	1326076	794695/300935*****	1323548	779638/295410*****	NA	764435/289886*****	NA	749043/284361*****	NA	733597/278836*****	NA	0	0	0	1182506	1182506	1244479	1368423	1720968	1156413	1136317	1116051	1095630	1075048	1054321	1033404	1012433
Cyprus	100-Holding Account	Vassiliko Cement Works Public Company Ltd 	2.1E+14	E1210	closed	Account holder	Vassiliko Cement Works Public Company Ltd	"Vassiliko Cement Company, Mari, 7736, Larnaca"		7736	Larnaka	Cyprus	2.1E+14	Vasiliko Cement Works Public Company Ltd - Moni Cement Plant	5	09/08/2006	30/09/2011				"Pyrgos, 4534, Limassol"		4534	Limassol	CY	NA	NA	6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces	NA	NA	NA	NA	NA	NA	NA	335599	NA	351890	NA	320088	352544	349957	352544	219912	352544	268602	352544	85441	0	0										NA		NA		NA		NA	0	0	0	352544	352544	352544	352544	0	0	0	0	0	0	0	0	0
Cyprus	100-Holding Account	Christos Poyiadjis 	2.1E+14	E7473	open	Account holder	Christos Poyiadjis	"16th km old Nicosia-Limassol road, 1306, Nisou Industrial Area, Nicosia"		1306	Nicosia	Cyprus	2.1E+14	United Brickworks Ltd	6	09/08/2006					"16th Km Old Nicosia-Limassol road, 1306, Nisou Industrial Area"		1306	Nicosia	CY	NA	NA	"8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain"	NA	NA	NA	NA	NA	NA	NA	15908	NA	17191	NA	18701	32151	17347	32151	10554	32151	7607	32151	5529	32155	4807	6993	2526	3436	2084	3375	2780	3312	2843	3249	NA	3186	NA	3122	NA	3057	NA	0	0	0	32151	32151	32151	32151	32155	6993	3436	3375	3312	3249	3186	3122	3057
Cyprus	100-Holding Account	Marios Hadjigavriel 	2.1E+14	E65628	open	Account holder	Marios Hadjigavriel	"Socratous 7, Viomichaniki Zoni Geriou, 2250, Nicosia"		2250	Nicosia	Cyprus	2.1E+14	Keramopiia Palekithrou (K.A.P.A.) Ltd	7	09/08/2006					"Sokratous 7, Viomichaniki Zoni Geriou, 2250, Nicosia"		2250	Nicosia	CY	NA	NA	"8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain"	NA	NA	NA	NA	NA	NA	NA	16604	NA	19874	NA	18575	32855	19849	32855	14178	32855	9099	32855	6137	32859	5183	7637	3017	3752	2974	3685	3130	3617	3984	3549	NA	3479	NA	3409	NA	3339	NA	0	0	0	32855	32855	32855	32855	32859	7637	3752	3685	3617	3549	3479	3409	3339
Cyprus	100-Holding Account	Kyriakos Chrysafis 	2.1E+14	E11051	open	Account holder	Kyriakos Chrysafis	"Larnaca-Limassol Road, Kalo Chorion, 6305, Larnaca"		6305	Larnaca	Cyprus	2.1E+14	Chrysafis Ceramics Ltd	8	09/08/2006					"Larnaca-Limassol Road, Kalon Chorion, 6305 Larnaca"		6305	Larnaca	CY	NA	NA	"8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain"	NA	NA	NA	NA	NA	NA	NA	17133	NA	18674	NA	18119	33926	18415	33926	11393	33926	7654	33926	5618	33930	5365	7348	2964	3610	2839	3545	3351	3480	4590	3415	NA	3347	NA	3281	NA	3213	NA	0	0	0	33926	33926	33926	33926	33930	7348	3610	3545	3480	3415	3347	3281	3213
Cyprus	100-Holding Account	George Ntoas 	2.1E+14	E27769	open	Account holder	George Ntoas	P.O. Box 27365		1644	Nicosia	Cyprus	2.1E+14	Kakoyiannis Brick Factory Ltd	9	09/08/2006					P.O. Box 27365		1644	Nicosia	CY	NA	NA	"8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain"	NA	NA	NA	NA	NA	NA	NA	17103	NA	17297	NA	18087	34723	17131	34723	9500	34723	8035	34723	5930	34723	4977	6868	2857	3374	3014	3314	2666	3253	3620	3191	NA	3129	NA	3066	NA	3003	NA	0	0	0	34723	34723	34723	34723	34723	6868	3374	3314	3253	3191	3129	3066	3003
Cyprus	100-Holding Account	Yiannakis Melios 	2.1E+14	E3403	open	Account holder	Yiannakis Melios	"Parodos Dimitri Stavrou, Geri, 2224, Nicosia"		2224	Nicosia	Cyprus	2.1E+14	Melios &amp; Paphitis Enterprises Ltd	10	09/08/2006					"Parodos Dimitri Stavrou, Geri, 2224, Nicosia"		2224	Nicosia	CY	NA	NA	"8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain"	NA	NA	NA	NA	NA	NA	NA	18943	NA	18248	NA	17535	33997	17652	33998	10849	33998	7378	33998	5870	33998	5146	7412	3112	3642	3183	3576	2763	3510	3824	3444	NA	3377	NA	3309	NA	3241	NA	0	0	0	33997	33998	33998	33998	33998	7412	3642	3576	3510	3444	3377	3309	3241
Cyprus	100-Holding Account	TOUVLOPOIEIA PALAIKYTHROU 'O GIGAS' LTD 	2.1E+14		open	Account holder	TOUVLOPOIEIA PALAIKYTHROU 'O GIGAS' LTD	INOMENON ETHNON 61		2548	NICOSIA	Cyprus	2.1E+14	Touvlopoieia Palaikythrou O GIGAS Ltd	11	09/08/2006					"65 Enomenon Ethnon street, 2548, Dhali, Nicosia"		2548	Nicosia	CY	NA	NA	"8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain"	NA	NA	NA	NA	NA	NA	NA	13257	NA	17224	NA	17450	29647	17206	29647	11919	29647	9441	29647	6527	29649	6252	9566	1844	3404	1837	3343	0	3282	0	3219	NA	3156	NA	3093	NA	3030	NA	0	0	0	29647	29647	29647	29647	29649	9566	3404	3343	3282	3219	3156	3093	3030
Cyprus	100-Holding Account	Leontios Kasapis 	2.1E+14	E8189	open	Account holder	Leontios Kasapis	"8 Ermou street, Dhali, 2540, Nicosia"		2540	Nicosia	Cyprus	2.1E+14	Keramopoeia Palaikythrou O GIGAS Ltd	12	09/08/2006					"8 Ermou street, Dhali, 2540, Nicosia"		2540	Nicosia	CY	NA	NA	"8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain"	NA	NA	NA	NA	NA	NA	NA	7812	NA	7721	NA	8295	14121	7211	14121	6228	14121	4722	14121	3536	14124	2364	3528	2073	1733	1505	1702	1718	1671	1831	1639	NA	1608	NA	1575	NA	1543	NA	0	0	0	14121	14121	14121	14121	14124	3528	1733	1702	1671	1639	1608	1575	1543
Cyprus	100-Holding Account	Varnavas Nicolaou 	2.1E+14	E9554	open	Account holder	Varnavas Nicolaou	"Papastavrou Papagathaggelou 83, 2560, Nicosia"		2560	Nicosia	Cyprus	2.1E+14	LEDRA Brick Factory Ltd	13	09/08/2006					"Papastavrou Papagathangelou 83, 2560, Nicosia"		2560	Nicosia	CY	NA	NA	"8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain"	NA	NA	NA	NA	NA	NA	NA	18953	NA	18165	NA	18129	37920	19364	37920	9665	37920	8854	37920	6527	37922	5611	7382	3547	5086	4142	4995	3839	4903	4982	4811	NA	4717	NA	4622	NA	4527	NA	0	0	0	37920	37920	37920	37920	37922	7382	5086	4995	4903	4811	4717	4622	4527
