National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Czech Republic	100-Holding Account	Procter&amp;Gamble - Rakona, s.r.o. 	1	14801396	open	Account holder	Procter&amp;Gamble - Rakona, s.r.o.	Ottova 402		26932	Rakovník	Czech Republic	1	Procter&amp;Gamble - Rakona - Kotelna	CZ-0005-05	2005-04-10					Ottova 402		26932	Rakovník	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	11117	7794	11117	7709	11117	7392	8294	7446	8294	7233	8294	7933	8294	7177	8294	7034	16660	15713	14911	12552	8799	13214	7698	15553	9954	NA	8404	NA	6906	NA	5463	NA	11117	11117	11117	8294	8294	8294	8294	8294	16660	14911	8799	7698	9954	8404	6906	5463
Czech Republic	100-Holding Account	PARAMO, a.s. 	2	48173355	open	Account holder	PARAMO, a.s.	Přerovská 560		530 06	Pardubice	Czech Republic	2	PARAMO-HS Pardubice	CZ-0006-05	2005-03-04					Přerovská 560		530 06	Pardubice	CZ	0	0	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	217519	166585	217519	172293	217519	165184	171607	150833	171607	145758	171607	141524	171607	119877	171607	72300	63230/20958*****	30219	0/23417*****	21185	0/23002*****	20330	0/22587*****	20959	0/22172*****	NA	0/21758*****	NA	0/21343*****	NA	0/20929*****	NA	217519	217519	217519	171607	171607	171607	171607	171607	84188	23417	23002	22587	22172	21758	21343	20929
Czech Republic	100-Holding Account	PARAMO, a.s. 	3	48173355	open	Account holder	PARAMO, a.s.	Přerovská 560		530 06	Pardubice	Czech Republic	3	PARAMO-HS Kolín	CZ-0007-05	2005-03-04					Ovčárecká 314		28002	Pardubice	CZ	0	0	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	52732	27644	52732	23371	52732	25421	27293	25629	27293	27872	27293	28966	27293	27896	27293	22393	27394	17222	26918	15350	26436	15734	25950	15663	25459	NA	24962	NA	24459	NA	23955	NA	52732	52732	52732	27293	27293	27293	27293	27293	27394	26918	26436	25950	25459	24962	24459	23955
Czech Republic	100-Holding Account	ArcelorMittal Tubular Products Karviná a.s. 	4	47672781	open	Account holder	ArcelorMittal Tubular Products Karviná a.s.	Rudé armády 471		73323	Karviná-Hranice	Czech Republic	4	ArcelorMittal Tubular Products Karviná	CZ-0021-05	2005-04-10					Rudé armády 471		73323	Karviná	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	23167	12112	23167	11835	23167	10433	12812	9547	12812	7577	12812	8811	12812	7855	12812	8352	10351	7984	10171	6730	9989	5760	9804	5780	9619	NA	9432	NA	9242	NA	9051	NA	23167	23167	23167	12812	12812	12812	12812	12812	10351	10171	9989	9804	9619	9432	9242	9051
Czech Republic	100-Holding Account	Cukrovar Vrbátky a.s. 	5	46900187	open	Account holder	Cukrovar Vrbátky a.s.	Vrbátky 65		79813	Vrbátky	Czech Republic	5	Cukrovar Vrbátky - uhelná kotelna	CZ-0023-05	2005-03-10					Vrbátky 65		798 13	Vrbátky	CZ	0	0	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	27641	23338	27641	16222	27641	11535	23338	12227	23338	13127	23338	11724	23338	15609	23338	18250	7902	25550	7765	25964	7626	24615	7485	26633	7344	NA	7200	NA	7055	NA	6910	NA	27641	27641	27641	23338	23338	23338	23338	23338	7902	7765	7626	7485	7344	7200	7055	6910
Czech Republic	100-Holding Account	innogy Energo, s.r.o. 	6	25115171	open	Account holder	innogy Energo, s.r.o.	Limuzská 3135/12		108 00	Praha 10 - Strašnice	Czech Republic	6	innogy Energo - Teplárna Náchod	CZ-0024-05	2005-05-06					Plhovská 544		54735	Náchod	CZ	0	0	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	132523	123841	132523	129723	132523	131868	128404	127529	128404	124108	128404	123032	128404	128622	128404	123986	43283	98607	36845	83247	30965	69808	25638	75780	20836	NA	16653	NA	13698	NA	10850	NA	132523	132523	132523	128404	128404	128404	128404	128404	43283	36845	30965	25638	20836	16653	13698	10850
Czech Republic	100-Holding Account	innogy Energo, s.r.o. 	7	25115171	open	Account holder	innogy Energo, s.r.o.	Limuzská 3135/12		108 00	Praha 10 - Strašnice	Czech Republic	7	innogy Energo - Teplárna Králův Dvůr	CZ-0025-05	2005-05-06					nám. Míru 380		267 01	Praha 1	CZ	0	0	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	23875	6721	23875	6092	23875	3673	6855	2668	6855	2641	6855	2739	6855	1675	6855	3454	3795	4537	3397	6137	3009	7385	2633	11368	2267	NA	1915	NA	1573	NA	1245	NA	23875	23875	23875	6855	6855	6855	6855	6855	3795	3397	3009	2633	2267	1915	1573	1245
Czech Republic	100-Holding Account	ENERGZET, a.s. 	8	63483823	closed	Account holder	ENERGZET, a.s.	Jedovnická 2a, č.p. 4303		62800	Brno	Czech Republic	8	ENERGZET, a.s. - teplárna	CZ-0026-05	2005-04-10	2012-06-05				Jedovnická 2a, č.p. 4303		62800	Brno	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	50000	5475	50000	4206	50000	318	5475	0	5475	0	5475	0	5475	0	5475	0										NA		NA		NA		NA	50000	50000	50000	5475	5475	5475	5475	5475	0	0	0	0	0	0	0	0
Czech Republic	100-Holding Account	OPATHERM, a.s. 	9	25385771	open	Account holder	OPATHERM, a.s.	Horní náměstí 283/58		74601	Opava	Czech Republic	9	OPATHERM - Výtopna Hillova	CZ-0028-05	2005-03-21					1908		74601	Opava	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	8610	7541	8610	6926	8610	6181	7740	6116	7740	5876	7740	6681	7740	4639	7740	4591	5161	3966	4620	3251	2046	3199	1790	3671	3084	NA	2604	NA	2140	NA	1692	NA	8610	8610	8610	7740	7740	7740	7740	7740	5161	4620	2046	1790	3084	2604	2140	1692
Czech Republic	100-Holding Account	OPATHERM, a.s. 	10	25385771	open	Account holder	OPATHERM, a.s.	Horní náměstí 283/58		74601	Opava	Czech Republic	10	OPATHERM - Výtopna Olomoucká	CZ-0029-05	2005-03-21					2267		74601	Opava	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	11283	9326	11283	8369	11283	7951	9467	7837	9467	7792	9467	8152	9467	7363	9467	7303	6687	6720	5880	5520	5208	5776	4557	5584	3926	NA	3315	NA	2724	NA	2155	NA	11283	11283	11283	9467	9467	9467	9467	9467	6687	5880	5208	4557	3926	3315	2724	2155
Czech Republic	100-Holding Account	ČKD Kutná Hora, a.s. 	11	00508055	open	Account holder	ČKD Kutná Hora, a.s.	Karlov 197		28449	Kutná Hora	Czech Republic	11	Slévárna ČKD Kutná Hora, a.s.	CZ-0034-05	2005-03-11					Karlov 197		28449	Kutná Hora	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	25780	16316	25780	15647	25780	10134	6737	5097	6737	1967	6737	2001	6737	3526	6737	3626	9020	3669	8863	3436	8705	2546	8544	2046	3665	NA	3594	NA	3521	NA	3448	NA	25780	25780	25780	6737	6737	6737	6737	6737	9020	8863	8705	8544	3665	3594	3521	3448
Czech Republic	100-Holding Account	Energetika Chropyně a.s. 	12	25517074	closed	Account holder	Energetika Chropyně a.s.	Komenského 75		76811	Chropyně	Czech Republic	12	Energetika Chropyně - výtopna	CZ-0035-05	2005-06-16	2013-01-01				Komenského 75		76811	Chropyně	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	22948	11770	22948	10283	22948	8727	11798	8486	11798	7284	11798	5857	11798	5200	11798	3869										NA		NA		NA		NA	22948	22948	22948	11798	11798	11798	11798	11798	0	0	0	0	0	0	0	0
Czech Republic	100-Holding Account	Iveco Czech Republic, a. s. 	13	48171131	open	Account holder	Iveco Czech Republic, a. s.	Dobrovského 74/II.		56603	Vysoké Mýto	Czech Republic	13	Iveco - Výtopna E-1	CZ-0036-05	2005-05-12					Dobrovského 74/II		56603	Vysoké Mýto	CZ	0	0	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	15810	11966	15810	13203	15810	14583	13465	15742	13465	14146	13465	14277	13465	12676	13465	12063	7608	17243	6810	16407	9177	17026	9009	17965	8839	NA	8666	NA	8491	NA	8317	NA	15810	15810	15810	13465	13465	13465	13465	13465	7608	6810	9177	9009	8839	8666	8491	8317
Czech Republic	100-Holding Account	DIAMO, státní podnik 	14	00002739	open	Account holder	DIAMO, státní podnik	Máchova 201		47127	Stráž pod Ralskem	Czech Republic	14	DIAMO-odštěpný závod GEAM provoz Chemická úpravna	CZ-0038-05	2005-03-10					Dolní Rožínka		59251	Stráž pod Ralskem	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	19776	19412	19776	18168	19776	18995	20105	18183	20105	15618	20105	18052	20105	15441	20105	15138	13330	13163	11930	12864	10566	10914	9245	11750	7964	NA	6724	NA	5525	NA	4371	NA	19776	19776	19776	20105	20105	20105	20105	20105	13330	11930	10566	9245	7964	6724	5525	4371
Czech Republic	100-Holding Account	SCB Foundry, a.s. 	15	26114861	open	Account holder	SCB Foundry, a.s.	Okružní 621/1a	České Budějovice 4	37001	České Budějovice	Czech Republic	15	SCB Foundry - Slévárna České Budějovice	CZ-0040-05	2005-03-16					Okružní 1		37001	Kutná Hora	CZ	0	0	25-Production or processing of ferrous metals	NA	NA	NA	NA	NA	NA	20000	19405	20000	14630	20000	10183	8053	4858	8053	1296	8053	1982	8053	4485	8053	6481	8796	6480	8643	10969	8490	151	3161	698	3101	NA	3041	NA	2979	NA	2919	NA	20000	20000	20000	8053	8053	8053	8053	8053	8796	8643	8490	3161	3101	3041	2979	2919
Czech Republic	100-Holding Account	Chrudim IRON&amp;STEEL s.r.o. 	16	28669771	closed	Account holder	Chrudim IRON&amp;STEEL s.r.o.	Na Zámecké 1518/9		140 00	Praha 4 - Nusle	Czech Republic	16	Chrudim IRON&amp;STEEL,s.r.o. - Slévárna tvárné litiny	CZ-0041-05	2005-03-15	2014-11-11				Průmyslová 890		537 01	Kutná Hora	CZ	0	0	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	640	630	640	566	640	571	640	535	640	265	640	267	640	403	640	582	346	433	340	373	0		0		0	NA	0	NA	0	NA	0	NA	640	640	640	640	640	640	640	640	346	340	0	0	0	0	0	0
Czech Republic	100-Holding Account	SLEZAN Frýdek - Místek a. s. 	17	45193371	closed	Account holder	SLEZAN Frýdek - Místek a. s.	Na Příkopě 1221		73815	Frýdek-Místek	Czech Republic	17	ZRUŠENO SLEZAN - kotelna závodu 04 - Frýdek Místek	CZ-0042-05	2005-10-10	2011-05-25				Beskydská 1488		73815	Frýdek-Místek	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	31722	31575	31722	32088	31722	29145	34060	20114	34060	4796	0	0	0		0											NA		NA		NA		NA	31722	31722	31722	34060	34060	0	0	0	0	0	0	0	0	0	0	0
Czech Republic	100-Holding Account	SLEZAN Frýdek - Místek a. s. 	18	45193371	closed	Account holder	SLEZAN Frýdek - Místek a. s.	Na Příkopě 1221		73815	Frýdek-Místek	Czech Republic	18	ZRUŠENO - SLEZAN FM - kotelna závodu 03 - Frýdlant	CZ-0043-05	2005-10-10	2011-05-25				Tovární 669		46401	Frýdek-Místek	CZ	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	29875	22104	29875	23676	29875	24492	24492	22902	24492	6259	0	0	0		0											NA		NA		NA		NA	29875	29875	29875	24492	24492	0	0	0	0	0	0	0	0	0	0	0
