National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Denmark	100-Holding Account	Jan  Olsen 	1		closed	Account holder	Jan  Olsen	Savsvinget 2		2970	Hørsholm	Denmark	1	I/S Nordforbrænding	14748539-1003861117-0261-20041001	2005-01-01					Savsvinget 2		2970	Hørsholm	DK	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	605	0	454	0	0		NA		NA		NA		NA		NA											NA		NA		NA		NA	605	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denmark	100-Holding Account	BRØNDBY FJERNVARME A M B A 	2	DK 33269315	open	Account holder	BRØNDBY FJERNVARME A M B A	Kirkebjerg Allé 92 A		2605	Brøndby	Denmark	2	Brøndby Strand Fjernvarmecentral	TCO2-1832	2005-01-01					Kirkebjerg Alle 92 A		2605	Brøndby	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	727	325	545	180	546	172	502	148	501	343	501	1581	501	119	501	368	348	526	623	228	138	447	242	856	416	NA	351	NA	289	NA	228	NA	727	545	546	502	501	501	501	501	348	623	138	242	416	351	289	228
Denmark	100-Holding Account	ENERGI VIBORG KRAFTVARME A/S 	3	10046769	open	Account holder	ENERGI VIBORG KRAFTVARME A/S	Industrivej 40		8800	Viborg	Denmark	3	Viborg Kraftvarme A/S	TCO2-293	2005-01-01					Industrivej 40		8800	Viborg	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	976	597	732	1001	733	460	674	1525	674	4255	674	1757	674	1555	674	5064	2546	10498	2279	13179	2018	5428	1766	4339	1521	NA	1284	NA	1056	NA	835	NA	976	732	733	674	674	674	674	674	2546	2279	2018	1766	1521	1284	1056	835
Denmark	100-Holding Account	ENERGI VIBORG KRAFTVARME A/S 	4	10046769	open	Account holder	ENERGI VIBORG KRAFTVARME A/S	Industrivej 40		8800	Viborg	Denmark	4	Viborg Kraftvarme A/S	TCO2-295	2005-01-01					Industrivej 40		8800	Viborg	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	1267	416	950	811	950	577	978	762	975	4542	975	4490	975	2744	975	5175	3792	9908	3393	11978	3006	6676	2630	4227	2266	NA	1913	NA	1572	NA	1243	NA	1267	950	950	978	975	975	975	975	3792	3393	3006	2630	2266	1913	1572	1243
Denmark	100-Holding Account	ENERGI VIBORG KRAFTVARME A/S 	5	10046769	open	Account holder	ENERGI VIBORG KRAFTVARME A/S	Industrivej 40		8800	Viborg	Denmark	5	Viborg Kraftvarme A/S	TCO2-1069	2005-01-01				10455	Industrivej 40		8800	Viborg	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	242651	127970	181988	126379	181988	121366	145079	118146	145077	103518	145077	136405	145077	119625	145077	109620	51242	73542	45857	43149	20312	58466	35558	90122	30649	NA	25901	NA	21305	NA	16875	NA	242651	181988	181988	145079	145077	145077	145077	145077	51242	45857	20312	35558	30649	25901	21305	16875
Denmark	100-Holding Account	HOFOR Fjernvarme P/S 	6	DK26089263	open	Account holder	HOFOR Fjernvarme P/S	c/o HOFOR	Ørestads Boulevard 35	2300	København S	Denmark	6	Lygten Varmeværk	TCO2-992	2005-01-01					Lygten 20		2400	København NV	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	672	140	504	798	504	5523	502	1091	499	1655	499	9571	499	1870	499	3872	2773	635	621	629	0	1289	0	578	0	NA	0	NA	0	NA	0	NA	672	504	504	502	499	499	499	499	2773	621	0	0	0	0	0	0
Denmark	100-Holding Account	HOFOR Fjernvarme P/S 	7	DK26089263	open	Account holder	HOFOR Fjernvarme P/S	c/o HOFOR	Ørestads Boulevard 35	2300	København S	Denmark	7	Østre Varmecentral	TCO2-994	2005-01-01					Østre Allé 6		2100	København Ø	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	814	193	610	1634	610	356	929	465	925	1823	925	6392	925	2543	925	3924	2366	1355	1059	589	469	1734	821	777	354	NA	299	NA	245	NA	194	NA	814	610	610	929	925	925	925	925	2366	1059	469	821	354	299	245	194
Denmark	100-Holding Account	HOFOR Fjernvarme P/S 	8	DK26089263	open	Account holder	HOFOR Fjernvarme P/S	c/o HOFOR	Ørestads Boulevard 35	2300	København S	Denmark	8	Sundholm Varmecentral	TCO2-995	2005-01-01					Brydes Allé 2		2300	København S	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	5923	866	4442	975	4443	740	4862	870	4860	2266	4860	7037	4860	2939	4860	5408	2736	1933	1224	2634	2169	3232	1898	2188	1635	NA	1380	NA	1134	NA	897	NA	5923	4442	4443	4862	4860	4860	4860	4860	2736	1224	2169	1898	1635	1380	1134	897
Denmark	100-Holding Account	Hinnerup Fjernvarme amba 	9	DK-10411912	closed	Account holder	Hinnerup Fjernvarme amba	Fanøvej 15		8382	Hinnerup	Denmark	9	Hinnerup Fjernvarme	10411912-1002895495-0161-20041001	2005-01-01	2012-12-31				Fanøvej 15		8382	Hinnerup	DK	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	928	836	696	916	697	487	636	364	633	469	633	1043	633	492	633	573										NA		NA		NA		NA	928	696	697	636	633	633	633	633	0	0	0	0	0	0	0	0
Denmark	100-Holding Account	Brædstrup Totalenergianlæg A/S 	10	10419034	open	Account holder	Brædstrup Totalenergianlæg A/S	Fjernvarmevej 2		8740	Brædstrup	Denmark	10	Brædstrup Totalenergianlæg A/S	TCO2-945	2005-01-01					Fjernvarmevej 2		8740	Brædstrup	DK	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	28586	14811	21439	14858	21439	10696	18282	11306	18282	10616	18282	14707	18282	12996	18282	8530	7386	8508	6609	6637	5855	5746	5125	7654	4418	NA	3733	NA	3071	NA	2433	NA	28586	21439	21439	18282	18282	18282	18282	18282	7386	6609	5855	5125	4418	3733	3071	2433
