National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Estonia	100-Holding Account	Enefit Energiatootmine AS 	1	10579981	open	Account holder	Enefit Energiatootmine AS	40107 Ida-Virumaa	Elektrijaama tee 59	Vaivara vald	Auvere küla	Estonia	1	Balti Elektrijaam	EE-KL-0001	2009-01-12			Eesti Energia AS		AS Narva Elektrijaamad	Elektrijaama tee 59	21004	Narva	EE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	3570345	2253587	3795271	1551856	4035155	2725047	1454336	1971239	1454336	1263972	1454336	2859684	2612394	3723698	2049855	1435324	172920/959900****	2208958	146669/822771****	2236011	123204/685643****	1408713	102446/548514****	1626481	84277	NA	68585	NA	58772	NA	50768	NA	3570345	3795271	4035155	1454336	1454336	1454336	2612394	2049855	1132820	969440	808847	650960	84277	68585	58772	50768
Estonia	100-Holding Account	Enefit Energiatootmine AS 	2	10579981	open	Account holder	Enefit Energiatootmine AS	40107 Ida-Virumaa	Elektrijaama tee 59	Vaivara vald	Auvere küla	Estonia	2	Eesti Elektrijaam	EE-KL-0002	2009-01-12			Eesti Energia AS		AS Narva Elektrijaamad	Auvere küla	40101	Ida-Virumaa	EE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	9521554	7710803	10500912	7698104	12861543	9371582	7214504	8282592	7214504	7036332	7214504	9293785	8730846	8408440	8033243	9440345	65058/4038974****	10667854	63736/3461977****	9683037	62419/2884981****	7080114	61110/2307985****	7938499	59808	NA	58512	NA	57223	NA	55943	NA	9521554	10500912	12861543	7214504	7214504	7214504	8730846	8033243	4104032	3525713	2947400	2369095	59808	58512	57223	55943
Estonia	100-Holding Account	Enefit Taastuvenergia Osaühing 	3	11184032	open	Account holder	Enefit Taastuvenergia Osaühing	Lelle 22	Elektrijaama tee 59	11318	Tallinn	Estonia	3	Iru Elektrijaam	EE-KL-0003	2009-01-12			Eesti Energia AS		Iru Elektrijaam	Peterburi tee 105	74114	Maardu	EE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	505968	373270	537952	371992	572064	302229	364192	313860	364192	158758	364192	220107	215880	167728	290036	98650	205712	77266	184092	77917	81544	71214	71373	91802	61522	NA	51990	NA	42766	NA	33873	NA	505968	537952	572064	364192	364192	364192	215880	290036	205712	184092	81544	71373	61522	51990	42766	33873
Estonia	100-Holding Account	VKG Soojus AS 	4	10160791	open	Account holder	VKG Soojus AS	Ritsika 1	Ritsika 1	31027	Kohtla-Järve	Estonia	4	Ahtme Elektrijaam	EE-KL-0004	2009-01-12			VKG Soojus AS		Ritsika 1	Ritsika 1	31027	Kohtla-Järve	EE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	259820	190257	276167	187773	293601	183832	185973	157763	185973	146133	185973	162792	156877	122132	171425	111768	99444	3543	81674	483	24886	110	16107	966	8993	NA	3465	NA	0	NA	0	NA	259820	276167	293601	185973	185973	185973	156877	171425	99444	81674	24886	16107	8993	3465	0	0
Estonia	100-Holding Account	OÜ VKG Energia 	5	10516395	open	Account holder	OÜ VKG Energia	OÜ VKG Energia	Järveküla tee 14	30328	Kohtla-Järve	Estonia	5	OÜ VKG Energia Põhja SEJ	EE-KL-0005	2009-01-12			Viru Keemia Grupp AS		OÜ VKG Energia	Elektriku 3	30199	Kohtla-Järve	EE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	214950	133570	228379	259608	242702	303513	254208	291602	254208	270563	254208	301166	871023	446909	573726	472759	373460/12812****/126407*****	489293	358635/10981****/123100*****	527049	344829/9152****/129192*****	497923	332013/7321****/125774*****	451341	320143/120784*****	NA	309176/115893*****	NA	299124/111100*****	NA	291232/106410*****	NA	214950	228379	242702	254208	254208	254208	871023	573726	512679	492716	483173	465108	440927	425069	410224	397642
Estonia	100-Holding Account	Vopak E.O.S. AS 	6	10715645	open	Account holder	Vopak E.O.S. AS	Pirita tee 102	Lasti tee 20	12011	Tallinn	Estonia	6	Pakterminal	EE-KL-0038	2009-01-12					Pakterminal	Lasti tee 20	74115	Maardu	EE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	26753	16716	27217	11669	27694	12428	11669	7344	11669	5356	11669	9434	9313	10427	10491	11706	9060	12906	8107	8920	7181	6644	6283	5844	5413	NA	4570	NA	3755	NA	2971	NA	26753	27217	27694	11669	11669	11669	9313	10491	9060	8107	7181	6283	5413	4570	3755	2971
Estonia	100-Holding Account	AS Aspi 	7		closed	Account holder	AS Aspi	AS Aspi	Peterburi tee 46	11415	Tallinn	Estonia	7	AS Aspi	EE-KL-00000	2006-08-31			AS Eesti Ehitus		AS Aspi	Peterburi tee 46	11415	Tallinn	EE	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	4589		5201		5201		NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	4589	5201	5201	0	0	0	0	0	0	0	0	0	0	0	0	0
Estonia	100-Holding Account	OÜ VKG Energia (end Fortum) 	8	10516395	closed	Account holder	OÜ VKG Energia (end Fortum)	OÜ VKG Energia	Järveküla tee 14	30328	Kohtla-Järve	Estonia	8	OÜ VKG Energia Lõuna SEJ	EE-KL-0006	2009-01-12	2010-12-31		Fortum Power and Heat Oy		Järveküla tee 14	Keemia 2A	30328	Kohtla-Järve	EE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	201039	206823	214408	161373	228666	164662	96418	165873	96418	152679	96418	151820	0	Not Reported	0	Not Reported										NA		NA		NA		NA	201039	214408	228666	96418	96418	96418	0	0	0	0	0	0	0	0	0	0
Estonia	100-Holding Account	VKG Oil AS 	9	10528765	open	Account holder	VKG Oil AS	VKG Oil AS	Järveküla tee 14	30328	Kohtla-Järve	Estonia	9	VKG Oil AS	EE-KL-0007	2009-01-12			Viru Keemia Grupp AS		VKG Oil AS	Järveküla tee 14	30328	Kohtla-Järve	EE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	132875	70298	132875	69513	147172	53129	69513	54905	69513	39198	69513	49996	42833	52257	56173	49172	80323	43058	78903	43971	77468	46541	76018	34842	74555	NA	73079	NA	71585	NA	70087	NA	132875	132875	147172	69513	69513	69513	42833	56173	80323	78903	77468	76018	74555	73079	71585	70087
Estonia	100-Holding Account	Kreenholmi Valduse AS 	10		closed	Account holder	Kreenholmi Valduse AS	Kreenholmi Valduse AS	Tehase 6	20103	Narva	Estonia	10	Kreenholmi Valduse AS	EE-KL-0008	2009-01-12	2011-06-30		Boras Wäfveri AB		Kreenholmi Valduse AS	Joala 20	20103	Narva	EE	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	15645	11669	16115	11268	16598	10228	11268	5876	11268	1027	11268	0	0		0											NA		NA		NA		NA	15645	16115	16598	11268	11268	11268	0	0	0	0	0	0	0	0	0	0
