National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
France 	100-Holding Account	SMURFIT KAPPA PAPIER RECYCLE FRANCE 	1	479701179	closed	Account holder	SMURFIT KAPPA PAPIER RECYCLE FRANCE	Allée des Fougères	/	33380	Biganos	France 	1	Smurfit Papier Recyclé Fr. Papeterie d'Alaincourt	05100008	1999-03-17	2012-02-17		SMURFIT KAPPA PAPIER RECYCLE FRANCE		Rue de la Papeterie	/	02240	Alaincourt	FR	0	0	9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board	NA	NA	NA	NA	NA	NA	16406	21598	16406	18893	16405	3367	14097	0	0	0	0	0	0		0											NA		NA		NA		NA	16406	16406	16405	14097	0	0	0	0	0	0	0	0	0	0	0	0
France 	100-Holding Account	NESTLE FRANCE SAS 	2	542014428	open	Account holder	NESTLE FRANCE SAS	BP 900	Noisiel/	77446	Marne la Vallée Cedex 2	France 	2	NESTLE FRANCE - Usine de Boué	05100097	1988-08-23			NESTLE FRANCE SAS		BP 1	/	02450	Boué	FR	6.99028767	25.60563716	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	30217	18159	30217	16949	30217	20417	24014	21290	24014	17411	24014	19270	24014	16893	24014	16335	18618	18797	16661	17330	22459	17947	22046	19033	21628	NA	21206	NA	20779	NA	20351	NA	30217	30217	30217	24014	24014	24014	24014	24014	18618	16661	22459	22046	21628	21206	20779	20351
France 	100-Holding Account	TEREOS FRANCE 	3	533247979	open	Account holder	TEREOS FRANCE	11 rue Pasteur		02390	Origny Ste Benoite	France 	3	Sucrerie de Bucy	05100114	2005-08-04			TEREOS	002ETA1898	Route de Soissons	/	02880	Bucy le Long	FR	6.74792835	24.93368746	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	90383	83780	90383	88466	90382	85994	76604	75198	76604	81552	81172	70039	81172	88636	79989	76212	84637	111658	83167	129764	81680	114580	80177	116264	78659	NA	77125	NA	75572	NA	74013	NA	90383	90383	90382	76604	76604	81172	81172	79989	84637	83167	81680	80177	78659	77125	75572	74013
France 	100-Holding Account	GREENFIELD SAS 	4	447918368	open	Account holder	GREENFIELD SAS	ZI La Grande Borne	BP 39/	02400	Château-Thierry	France 	4	GREENFIELD SAS	05100143	1994-12-21			GREENFIELD SAS	002GRE1899	ZI la Grande Borne	BP 39/	02400	Château-Thierry	FR	0	0	35-Production of pulp	NA	NA	NA	NA	NA	NA	35668	24530	35668	26957	35668	25885	30647	24216	30647	21783	30647	24114	30647	20206	30647	25608	4599	27284	4519	27075	4438	24250	4356	22034	4274	NA	4190	NA	4106	NA	4021	NA	35668	35668	35668	30647	30647	30647	30647	30647	4599	4519	4438	4356	4274	4190	4106	4021
France 	100-Holding Account	ARKEMA FRANCE 	5	319632790	closed	Account holder	ARKEMA FRANCE	420 Rue d'Estienne d'Orves	/	92705	Colombes Cedex	France 	5	ARKEMA FRANCE - Usine de Chauny	05100185	1990-09-12	2015-02-23		ARKEMA FRANCE		2 Route de Soissons	BP 39/	02304	Chauny Cedex	FR	49.61	3.219	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	8132	4814	8132	5497	8133	3564	6805	16441	6805	29919	6805	23454	6805	28919	6805	22165	64889	33092	63762	3118	0		0		0	NA	0	NA	0	NA	0	NA	8132	8132	8133	6805	6805	6805	6805	6805	64889	63762	0	0	0	0	0	0
France 	100-Holding Account	POUILLON 	6		closed	Account holder	POUILLON	Dow France SAS	8 route de Herrlisheim CS10820/	67410	Drusenheim	France 	6	ROHM AND HAAS CHAUNY	05100190	1993-01-15	2012-12-31		ROHM AND HAAS FRANCE SAS		Rue des Grands Navoirs prolongée	/	02300	Chauny	FR	6.64898	25.12498	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	12967	8976	12967	8110	12966	7202	10850	7003	10850	5433	10850	9201	10850	7529	10850	7283										NA		NA		NA		NA	12967	12967	12966	10850	10850	10850	10850	10850	0	0	0	0	0	0	0	0
France 	100-Holding Account	SAINT LOUIS SUCRE SA 	7	602056749	closed	Account holder	SAINT LOUIS SUCRE SA	Parc du Millénaire 2	35 Rue de la Gare/	75019	Paris	France 	7	SAINT LOUIS SUCRE - Etablissement du Nord Est	05100220	2006-12-15	2012-12-31		SAINT LOUIS SUCRE SA	002SAI1905	Sucrerie de Guignicourt	BP n°2/	02190	CONDE SUR SUIPPE	FR	0	0	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	179097	100985	179097	94656	179098	85534	149659	0	149659	0	78864	0	78864	0	78864	Not Reported										NA		NA		NA		NA	179097	179097	179098	149659	149659	78864	78864	78864	0	0	0	0	0	0	0	0
France 	100-Holding Account	VERALLIA FRANCE 	9	722034592	open	Account holder	VERALLIA FRANCE	Tour Carpe Diem, Place des Corolles	Esplanade Nord	92400	COURBEVOIE	France 	9	VERALLIA FRANCE - Vauxrot	05100257	1961-01-12			VERALLIA FRANCE		Rue du Belvédère	/	02880	CUFFIES	FR	0	0	31-Manufacture of glass	NA	NA	NA	NA	NA	NA	147051	126270	147051	127715	147052	105698	83782	93304	83782	79569	83782	35857	83782	49577	83782	61482	58178	60671	57167	58525	56145	62250	55113	60222	54068	NA	53014	NA	51947	NA	50875	NA	147051	147051	147052	83782	83782	83782	83782	83782	58178	57167	56145	55113	54068	53014	51947	50875
France 	100-Holding Account	EVERBAL 	10		open	Account holder	EVERBAL	2 route d'Avaux		02190	Evergnicourt	France 	10	PAPETERIE EVERBAL	05100293	1931-06-13			EVERBAL		2 Route d'Avaux	/	02190	Evergnicourt	FR	0	0	36-Production of paper or cardboard	NA	NA	NA	NA	NA	NA	31581	21297	31581	17923	31580	17336	27135	16501	27135	9432	27135	9075	27135	9553	27135	9141	15049	2917	14571	659	14098	1226	13630	2454	13168	NA	12712	NA	12259	NA	11814	NA	31581	31581	31580	27135	27135	27135	27135	27135	15049	14571	14098	13630	13168	12712	12259	11814
France 	100-Holding Account	TEREOS 	11	407948926	closed	Account holder	TEREOS	11 rue Pasteur	/	02390	Origny Sainte Benoîte	France 	11	Sucrerie de Vic	05100464	2005-08-04	2012-12-31		TEREOS	002ETA1923	BP 2	/	02290	Montigny Lengrain	FR	6.74792835	24.93368746	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	55997	50186	55997	51814	55998	55531	46994	0	46994	0	19624	0	37870	0	37870	Not Reported										NA		NA		NA		NA	55997	55997	55998	46994	46994	19624	37870	37870	0	0	0	0	0	0	0	0
