National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Germany	100-Holding Account	Gunvor Raffinerie Ingolstadt GmbH 	1	HRB 6375 Amtsgericht Ingolstadt	open	Account holder	Gunvor Raffinerie Ingolstadt GmbH	ESSO Straße 1	-	85092	Kösching	Germany	1	Raffinerie Ingolstadt	14210-0001	2005-01-01		-	Petroplus	0	ESSO Straße 1		85003	Ingolstadt	DE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	880013	749692	880013	849239	880013	815381	857023	838818	857023	787484	857023	805306	857023	696435	857023	365832	315697/20843*****	746194	620427/18653*****	711890	609331/19560*****	763982	598120/18065*****	762772	586788/16612*****	NA	575346/15202*****	NA	563761/13831*****	NA	552135/12503*****	NA	880013	880013	880013	857023	857023	857023	857023	857023	336540	639080	628891	616185	603400	590548	577592	564638
Germany	100-Holding Account	Haltermann Carless Deutschland GmbH 	2	HRB 118570 Amtsgericht Hamburg	open	Account holder	Haltermann Carless Deutschland GmbH	Joachim-Becher-Str. 1	Werk Speyer	67346	Speyer	Germany	2	Haltermann Carless Deutschland GmbH - Werk Speyer	14210-0002	2005-01-01		-	-	0	Joachim-Becher-Straße 1	Haltermann Carless Deutschland	67346	Speyer	DE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	37997	38950	37997	36166	37997	32239	37918	19394	37918	18733	37918	20967	37918	20337	37918	18754	17904	24250	17593	22248	4808	4680	2360	163	0	NA	0	NA	0	NA	0	NA	37997	37997	37997	37918	37918	37918	37918	37918	17904	17593	4808	2360	0	0	0	0
Germany	100-Holding Account	RUHR OEL GmbH 	3	HRB 7527 Amtsgricht Gelsenkirchen	open	Account holder	RUHR OEL GmbH	Pawiker Str. 30	-	45896	Gelsenkirchen	Germany	3	RUHR OEL GmbH - Werk Horst - CO2-Glocke	14210-0003	2005-01-01		-	-	0	Pawiker Straße 30		45896	Gelsenkirchen	DE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	1050570	1085534	1050570	1092371	1050570	977361	1046706	1091147	1046706	1067408	1046706	1107916	1046706	1096475	1046706	989751	852946	1190795	838131	1173920	823142	1162480	807996	1120628	792688	NA	777230	NA	761580	NA	745876	NA	1050570	1050570	1050570	1046706	1046706	1046706	1046706	1046706	852946	838131	823142	807996	792688	777230	761580	745876
Germany	100-Holding Account	RUHR OEL GmbH 	4	HRB 7527 Amtsgricht Gelsenkirchen	open	Account holder	RUHR OEL GmbH	Pawiker Str. 30	-	45896	Gelsenkirchen	Germany	4	RUHR OEL GmbH - Werk Scholven - CO2-Glocke	14210-0004	2005-01-01		-	-	0	Pawiker Straße 30		45896	Gelsenkirchen	DE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	3637847	3797378	3637847	3586999	3637847	3623201	3604377	3545345	3604377	3540414	3604377	3684846	3515529	3730978	3644806	3694963	2993779	3545894	2941779	3245624	2889168	3240801	2836009	3207130	2782277	NA	2728023	NA	2673092	NA	2617971	NA	3637847	3637847	3637847	3604377	3604377	3604377	3515529	3644806	2993779	2941779	2889168	2836009	2782277	2728023	2673092	2617971
Germany	100-Holding Account	OMV Deutschland GmbH 	5	HRB 11665 Amtsgericht Traunstein	open	Account holder	OMV Deutschland GmbH	Haiminger Straße 1		84489	Burghausen	Germany	5	Mineralölverarbeitung Burghausen	14210-0005	2005-01-01		-	-	0	Haiminger Straße 1		84489	Burghausen	DE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	952901	981806	952901	987651	952901	834682	1310649	1154282	1310649	1108379	1310649	1116789	1310649	1101629	1310649	1085791	830727	1088405	816297	975544	801699/20342*****	1107526	786948/21829*****	1098161	772038/21429*****	NA	756984/21028*****	NA	741741/20627*****	NA	726445/20226*****	NA	952901	952901	952901	1310649	1310649	1310649	1310649	1310649	830727	816297	822041	808777	793467	778012	762368	746671
Germany	100-Holding Account	TOTAL Bitumen Deutschland GmbH 	6	HRB 598 ME Amtsgericht Pinneberg	open	Account holder	TOTAL Bitumen Deutschland GmbH	Industriegebiet Süd		25541	Brunsbüttel	Germany	6	Destillation und Nebenanlagen Brunsbüttel	14210-0006	2005-01-01		-	-	0	Industriegebiet Sued		25541	Brunsbüttel	DE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	44226	41628	44226	43602	44226	41920	33991	32399	33991	32134	33991	25625	33991	30894	33991	34804	29158	35823	28652	35842	28139	34156	27622	36083	27099	NA	26570	NA	26035	NA	25499	NA	44226	44226	44226	33991	33991	33991	33991	33991	29158	28652	28139	27622	27099	26570	26035	25499
Germany	100-Holding Account	BAYERNOIL Raffineriegesellschaft mbH 	7	HRB 190759 Amtsgericht Ingolstadt	open	Account holder	BAYERNOIL Raffineriegesellschaft mbH	Irschinger Weg		85088	Vohburg	Germany	7	Standort Neustadt	14210-0007	2005-01-01		-	-	0	Raffineriestr. 100		93333	Neustadt	DE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	886415	976268	886415	1026338	886415	1023007	985810	862959	985810	1296681	2302884	1275560	1629047	1199180	1605134	1304031	990362	1242457	973161	1098245	955757	1216102	938171	1167362	920397	NA	902449	NA	884277	NA	866043	NA	886415	886415	886415	985810	985810	2302884	1629047	1605134	990362	973161	955757	938171	920397	902449	884277	866043
Germany	100-Holding Account	BAYERNOIL Raffineriegesellschaft mbH 	8	HRB 190759 Amtsgericht Ingolstadt	closed	Account holder	BAYERNOIL Raffineriegesellschaft mbH	Irschinger Weg		85088	Vohburg	Germany	8	Standort Ingolstadt	14210-0008	2005-01-01	2010-10-07	-	-	0	Eriagstraße		85053	Ingolstadt	DE	NA	NA	2-Mineral oil refineries	NA	NA	NA	NA	NA	NA	387214	496316	387214	472858	387214	500607	445483	330591	0	Not Reported	0	Not Reported	0		0											NA		NA		NA		NA	387214	387214	387214	445483	0	0	0	0	0	0	0	0	0	0	0	0
Germany	100-Holding Account	BAYERNOIL Raffineriegesellschaft mbH 	9	HRB 190759 Amtsgericht Ingolstadt	open	Account holder	BAYERNOIL Raffineriegesellschaft mbH	Irschinger Weg		85088	Vohburg	Germany	9	Standort Vohburg	14210-0009	2005-01-01		-	-	0	Irschinger Weg		85088	Vohburg	DE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	624674	613219	624674	617339	624674	614864	631047	635828	631047	629402	631047	642629	631047	632682	631047	608497	528739	580624	519555	608364	510264	642627	500875	653259	491385	NA	481803	NA	472102	NA	462367	NA	624674	624674	624674	631047	631047	631047	631047	631047	528739	519555	510264	500875	491385	481803	472102	462367
Germany	100-Holding Account	Raffinerie Heide GmbH 	10	HRB 9010 Amtsgericht Pinneberg	open	Account holder	Raffinerie Heide GmbH	Meldorfer Straße 43		25770	Hemmingstedt	Germany	10	Raffinerie Heide GmbH	14210-0010	2005-01-01		-	German Refining Holding GmbH	0	Meldorfer Straße 43		25770	Hemmingstedt	DE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	616405	637208	616405	628214	616405	656568	644898	611687	644898	563100	644898	546324	644898	531677	644898	543528	640673	1015988	628807	955087	616836	973263	604776	949952	592620	NA	580381	NA	568023	NA	555655	NA	616405	616405	616405	644898	644898	644898	644898	644898	640673	628807	616836	604776	592620	580381	568023	555655
