National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Greece	100-Holding Account	ΒΑ ΥΑΛΟΥΡΓΙΑ ΕΛΛΑΔΟΣ Α.Ε. 	1	140820501000	open	Account holder	ΒΑ ΥΑΛΟΥΡΓΙΑ ΕΛΛΑΔΟΣ Α.Ε.	ΟΡΥΖΟΜΥΛΩΝ 5	ΑΤΤΙΚΗ	12244	ΑΙΓΑΛΕΩ	Greece	1	YIOULA GLASSWORKS S.A.	8-2	2005-01-01				ELA100635	ΟΡΥΖΟΜΥΛΩΝ 5	ΑΙΓΑΛΕΩ ΑΤΤΙΚΗ	12244	ΑΘΗΝΑ	GR	NA	NA	31-Manufacture of glass	NA	NA	NA	NA	NA	NA	65531	46386	65531	45374	65531	50795	57117	51232	57117	44140	57117	47679	57117	35070	57117	46059	38923	47444	38247	48033	37563	47258	36872	47843	36174	NA	35468	NA	34754	NA	34037	NA	65531	65531	65531	57117	57117	57117	57117	57117	38923	38247	37563	36872	36174	35468	34754	34037
Greece	100-Holding Account	KRONOS 	2	NA	closed	Account holder	KRONOS	25ο ΧΛ ΝΕΟ ΑΘΗΝΩΝ ΚΟΡΙΝΘΟΥ	ΑΤΤΙΚΗ	19200	ΕΛΕΥΣΙΝΑ	Greece	2	ΥΑΛΟΥΡΓ. ΓΙΟΥΛΑ (ΚΡΟΝΟΣ)	8-3	2005-01-01				ELA300360	25οχλμ Ν.Ε.Ο. Αθηνών Κορίνθου	ΑΤΤΙΚΗ	19200	ΕΛΕΥΣΙΝΑ	GR	NA	NA	7-Installations for the manufacture of glass including glass fibre	NA	NA	NA	NA	NA	NA	21820	21447	21820	2231	21820		NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	21820	21820	21820	0	0	0	0	0	0	0	0	0	0	0	0	0
Greece	100-Holding Account	ΑΚΕΚ ΑΕ 	3	077082127000	open	Account holder	ΑΚΕΚ ΑΕ	ΒΙΠΕ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ	ΟΔΟΣ ΛΑΜΔΑ	71500	ΗΡΑΚΛΕΙΟ	Greece	3	AKEK S.A.	9-1	2005-01-01			ΑΚΕΚ Α.Ε.	EL9100952	ΒΙΠΕ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ	ΟΔΟΣ Λ, ΚΡΗΤΗ	71500	ΗΡΑΚΛΕΙΟ	GR	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	23277	29380	23277	22451	23277	27744	31812	26286	31812	14262	31812	8023	31812	5227	72552	4295	3583	7213	7042	0	0	9946	13577	0	0	NA	0	NA	0	NA	0	NA	23277	23277	23277	31812	31812	31812	31812	72552	3583	7042	0	13577	0	0	0	0
Greece	100-Holding Account	ΑΝΑΓΝΩΣΤΑΡΑ Α.Ε. 	4	015136745000	open	Account holder	ΑΝΑΓΝΩΣΤΑΡΑ Α.Ε.	ΑΝΤΙΚΑΛΑΜΟΣ ΜΕΣΣΗΝΙΑΣ	ΜΕΣΣΗΝΙΑ	24100	ΚΑΛΑΜΑΤΑ	Greece	4	ANAGNOSTARAS, A., BROS S.A. CERAMICS	9-2	2005-01-01				EL1701004	ΑΝΤΙΚΑΛΑΜΟΣ ΜΕΣΣΗΝΙΑΣ	ΜΕΣΣΗΝΙΑ	24100	ΚΑΛΑΜΑΤΑ	GR	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	19818	19149	19818	17851	19818	16802	25482	20868	25482	6437	25482	5289	25482	2652	25482	1788	4047	1436	2700	0	2652	0	2603	0	2554	NA	2504	NA	2454	NA	2403	NA	19818	19818	19818	25482	25482	25482	25482	25482	4047	2700	2652	2603	2554	2504	2454	2403
Greece	100-Holding Account	ΧΑΛΚΙΣ ΑΒΕΕ ΒΑΒΟΥΛΙΩΤΗΣ ΓΟΥΝΑΡΗΣ ΜΗΤΑΚΗΣ 	5	N046137022000	open	Account holder	ΧΑΛΚΙΣ ΑΒΕΕ ΒΑΒΟΥΛΙΩΤΗΣ ΓΟΥΝΑΡΗΣ ΜΗΤΑΚΗΣ	ΒΑΣΙΛΙΚΟ ΧΑΛΚΙΔΑΣ	ΕΥΒΟΙΑ	34002	ΧΑΛΚΙΔΑ	Greece	5	VAVOULIOTIS (VASILIKO CHALKIS PLANT)	9-3	2005-01-01				EL0400881	ΒΑΣΙΛΙΚΟ ΧΑΛΚΙΔΑΣ	ΔΗΜΟΣ ΛΗΛΑΝΤΙΩΝ	34002	ΕΥΒΟΙΑ	GR	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	35063	34514	35063	22864	35063	30760	40708	20358	40708	18768	40708	16908	40708	11894	40708	10630	13404	6472	6586	2528	3234	5933	6349	4246	3114	NA	3054	NA	2992	NA	2930	NA	35063	35063	35063	40708	40708	40708	40708	40708	13404	6586	3234	6349	3114	3054	2992	2930
Greece	100-Holding Account	ΧΑΛΚΙΣ ΑΒΕΕ ΒΑΒΟΥΛΙΩΤΗΣ ΓΟΥΝΑΡΗΣ ΜΗΤΑΚΗΣ 	6	N046137022000	open	Account holder	ΧΑΛΚΙΣ ΑΒΕΕ ΒΑΒΟΥΛΙΩΤΗΣ ΓΟΥΝΑΡΗΣ ΜΗΤΑΚΗΣ	ΒΑΣΙΛΙΚΟ ΧΑΛΚΙΔΑΣ	ΕΥΒΟΙΑ	34002	ΧΑΛΚΙΔΑ	Greece	6	VAVOULIOTIS  (VIOTIA PLANT)	9-4	2005-01-01				EL0300645	63ο χλμ ΕΟ ΑΘΗΝΩΝ-ΛΑΜΙΑΣ	ΒΟΙΩΤΙΑΣ	32009	ΣΧΗΜΑΤΑΡΙ	GR	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	55760	56632	55760	48336	55760	46565	59880	39146	59880	27838	59880	22926	59880	20745	59880	16521	20264	5994	9957	13166	19556	6740	9598	10907	15400	NA	15100	NA	14796	NA	14490	NA	55760	55760	55760	59880	59880	59880	59880	59880	20264	9957	19556	9598	15400	15100	14796	14490
Greece	100-Holding Account	KEBE  AE 	7	026531340000	open	Account holder	KEBE  AE	NEA  SANTA		54500	KILKIS	Greece	7	ΕΓΚΑΤΑΣΤΑΣΗ ΚΟΜΟΤΗΝΗΣ	9-5	2005-01-01				EL7300730	3ο χλμ Κομοτηνής Ξάνθης	ΚΟΜΟΤΗΝΗ	69100	Κομοτηνή	GR	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	27476	22433	27476	24894	27476	25738	25788	23122	25788	0	25788	0	25788	0	25788	0	10412	0	10231	0	10049	0	9864	0	9677	NA	9488	NA	9297	NA	9105	NA	27476	27476	27476	25788	25788	25788	25788	25788	10412	10231	10049	9864	9677	9488	9297	9105
Greece	100-Holding Account	ΒΙΤΡΟΥΒΙΤ ΑΕ 	8	N/A	closed	Account holder	ΒΙΤΡΟΥΒΙΤ ΑΕ	14ο χλμ ΠΕΟ ΘΕΣ/ΚΗ ΒΕΡΟΙΑ	ΘΕΣΣΑΛΟΝΙΚΗ	57011	ΘΕΣΣΑΛΟΝΙΚΗ	Greece	8	ΒΙΤΡΟΥΒΙΤ Α.Ε.	9-6	2005-01-01				EL5401079	14ο χλμ ΠΕΟ ΘΕΣ/ΝΙΚΗ -ΒΕΡΟΙΑ	ΘΕΣΣΑΛΟΝΙΚΗ	57011	ΘΕΣΣΑΛΟΝΙΚΗ	GR	NA	NA	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	NA	NA	NA	NA	NA	NA	16247	10222	16247	9812	16247	10416	NA		NA		NA		NA		NA											NA		NA		NA		NA	16247	16247	16247	0	0	0	0	0	0	0	0	0	0	0	0	0
Greece	100-Holding Account	ΚΕΡΑΜΕΙΑ ΑΛΛΑΤΙΝΙ ΑΒΕΤΕ 	9	014495204001	closed	Account holder	ΚΕΡΑΜΕΙΑ ΑΛΛΑΤΙΝΙ ΑΒΕΤΕ	10ο χλμ ΚΙΛΚΙΣ ΔΟΙΡΑΝΗΣ	ΣΤΑΥΡΟΧΩΡΙ	61100	ΚΙΛΚΙΣ	Greece	9	CERAMICS ALLATINI S.A.	9-9	2005-01-01	2012-05-04			EL5700310	10ο χλμ ΚΙΛΚΙΣ-ΔΟΙΡΑΝΗΣ	ΣΤΑΥΡΟΧΩΡΙ ΚΙΛΚΙΣ	61100	ΚΙΛΚΙΣ	GR	NA	NA	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	NA	NA	NA	NA	NA	NA	6410	0	6410	0	6410	0	3255	0	3255	0	3255	0	3255	Not Reported	0											NA		NA		NA		NA	6410	6410	6410	3255	3255	3255	3255	0	0	0	0	0	0	0	0	0
Greece	100-Holding Account	ΚΕΡΑΜΟΠΟΙΙΑ ΧΑΛΚΙΔΙΚΗΣ ΑΕ 	10	032219457000	open	Account holder	ΚΕΡΑΜΟΠΟΙΙΑ ΧΑΛΚΙΔΙΚΗΣ ΑΕ	ΑΓΙΟΣ ΜΑΜΑΣ	ΧΑΛΚΙΔΙΚΗ	63200	ΧΑΛΚΙΔΙΚΗ	Greece	10	HALKIDIKI S.A. BRICKS INDUSTRY	9-10	2005-01-01			ΚΕΡΑΜΟΠΟΙΙΑ ΧΑΛΚΙΔΙΚΗΣ Α.Ε.	EL6401189	ΑΓΙΟΣ ΜΑΜΑΣ	ΧΑΛΚΙΔΙΚΗ	63200	ΧΑΛΚΙΔΙΚΗ	GR	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	29894	38149	29894	25848	29894	27202	29730	23144	29730	11260	29730	10814	29730	2911	29730	1382	5767	2478	5666	1435	5565	320	5463	0	5359	NA	5255	NA	5149	NA	5043	NA	29894	29894	29894	29730	29730	29730	29730	29730	5767	5666	5565	5463	5359	5255	5149	5043
