National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Ireland 	100-Holding Account	Lagan Brick Limited 	1	361969	closed	Account holder	Lagan Brick Limited	Kingscourt Bricks Limited	Drumgill	County Cavan	Kingscourt	Ireland 	1	Kingscourt Bricks	IE-GHG001	2005-09-08	2013-03-28				Drumgill		County Cavan	Kingscourt	IE	NA	NA	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	NA	NA	NA	NA	NA	NA	13218	12442	13218	9200	13218	9290	9994	5162	9994	2413	9994	2932	9994	4364	0	0										NA		NA		NA		NA	13218	13218	13218	9994	9994	9994	9994	0	0	0	0	0	0	0	0	0
Ireland 	100-Holding Account	Saint-Gobain Construction Products (Ireland) Limited 	2	11815	open	Account holder	Saint-Gobain Construction Products (Ireland) Limited	Unit 4, Kilcarbery Business Park	Nangor Road	Dublin 22	Dublin	Ireland 	2	Kingscourt Works	IE-GHG002	2005-09-08					Navan Road		Cavan	Kingscourt	IE	NA	NA	34-Production or processing of gypsum or plasterboard	NA	NA	NA	NA	NA	NA	40778	45592	40778	52158	40778	50002	49030	35058	49030	23299	49030	19732	49030	17378	49030	14020	20932	14720	25710	16684	25250	20381	24786	26916	39478	NA	38708	NA	37928	NA	37147	NA	40778	40778	40778	49030	49030	49030	49030	49030	20932	25710	25250	24786	39478	38708	37928	37147
Ireland 	100-Holding Account	Arrabawn Cooperative Society Limited 	3	Co-operative Society	open	Account holder	Arrabawn Cooperative Society Limited	Stafford Street		Tipperary	Nenagh	Ireland 	3	Arrabawn Cooperative Society Limited	IE-GHG003	2005-09-09					Stafford Street		Tipperary	Nenagh	IE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	22596	23299	22596	22970	22596	22688	24316	18338	24316	21613	24316	23588	24316	22607	24316	21137	14295	23966	13792	24822	13296	24763	12806	16823	12323	NA	11847	NA	11376	NA	10917	NA	22596	22596	22596	24316	24316	24316	24316	24316	14295	13792	13296	12806	12323	11847	11376	10917
Ireland 	100-Holding Account	Medite Europe Limited 	4	80984	open	Account holder	Medite Europe Limited	Redmondstown		Tipperary	Clonmel	Ireland 	4	Medite Europe Limited	IE-GHG004	2005-09-09					Redmondstown		Tipperary	Clonmel	IE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	5963	6345	5963	6291	5963	6162	6641	4877	6641	4981	6641	5539	6641	5628	6641	5208	64328	5624	63211	5810	40794	5899	35691	6234	30747	NA	25962	NA	21332	NA	16876	NA	5963	5963	5963	6641	6641	6641	6641	6641	64328	63211	40794	35691	30747	25962	21332	16876
Ireland 	100-Holding Account	Irish Distillers Limited 	5	23732	open	Account holder	Irish Distillers Limited	Simmonscourt House	Simmonscourt Road	Dublin 4	Ballsbridge	Ireland 	5	Midleton Distilleries	IE-GHG005	2006-01-23					Midleton		Cork	-	IE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	20256	27192	20256	28112	20256	31265	21312	41407	21312	27980	21312	29001	21312	33792	21312	36611	20557	40997	20113	38391	19670	37866	19225	40333	18780	NA	18334	NA	17886	NA	17442	NA	20256	20256	20256	21312	21312	21312	21312	21312	20557	20113	19670	19225	18780	18334	17886	17442
Ireland 	100-Holding Account	Edenderry Power Limited 	6	278071	open	Account holder	Edenderry Power Limited	Main Street		Kildare	Newbridge	Ireland 	6	Edenderry Power Plant	IE-GHG007	2005-09-09					Ballykilleen		Offaly	Edenderry	IE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	627676	860660	627676	865552	627676	816166	632319	895057	632319	843867	632319	674792	632319	761828	632319	711081		615975		697174		680652		538866		NA		NA		NA		NA	627676	627676	627676	632319	632319	632319	632319	632319	0	0	0	0	0	0	0	0
Ireland 	100-Holding Account	Kerry Ingredients (Ireland) Limited 	7	206782	open	Account holder	Kerry Ingredients (Ireland) Limited	Princes Street		Kerry	Tralee	Ireland 	7	Kerry Ingredients (Ireland) Limited	IE-GHG008	2005-09-08					Tralee Road		Kerry	Listowel	IE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	79841	84080	79841	77158	79841	76296	88732	75777	88732	71849	88732	78238	88732	74771	88732	74264	30377	82684	31769	80900	30266	86315	28794	79021	27351	NA	25936	NA	24549	NA	23198	NA	79841	79841	79841	88732	88732	88732	88732	88732	30377	31769	30266	28794	27351	25936	24549	23198
Ireland 	100-Holding Account	Carbery Food Ingredients Limited 	8	22819	open	Account holder	Carbery Food Ingredients Limited	Ballineen		County Cork	County Cork	Ireland 	8	Carbery Milk Products Limited	IE-GHG009	2005-09-09					Ballineen		County Cork	Cork	IE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	48677	41961	48677	34975	48677	41321	51465	39745	51465	40278	51465	40172	51465	41705	51465	42963	39456	42519	40488	46017	39301	44578	38134	43943	36982	NA	35847	NA	34728	NA	33628	NA	48677	48677	48677	51465	51465	51465	51465	51465	39456	40488	39301	38134	36982	35847	34728	33628
Ireland 	100-Holding Account	Alkermes Pharma Ireland Limited 	9	448848	closed	Account holder	Alkermes Pharma Ireland Limited	Monksland	Athlone	Co WMeath	Co Westmeath	Ireland 	9	Alkermes Pharma Ireland Limited	IE-GHG011	2005-09-09	2013-06-04				Monksland		Co. Westmeath	Athlone	IE	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	11439	11840	11439	10487	11439	8310	13450	8391	13450	8079	13450	7028	13450	7564	13450	8325										NA		NA		NA		NA	11439	11439	11439	13450	13450	13450	13450	13450	0	0	0	0	0	0	0	0
Ireland 	100-Holding Account	MSD International GmbH (trading as MSD Ireland (Ballydine)) 	10	903991	open	Account holder	MSD International GmbH (trading as MSD Ireland (Ballydine))	Ballydine	Kilsheelan	Tipperary	Kilsheelan	Ireland 	10	MSD International GmbH (t/a MSD Ireland Ballydine)	IE-GHG012	2005-09-19					Ballydine	Kilsheelan	Tipperary	Clonmel	IE	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	14448	11090	14448	10492	14448	11551	12806	11653	12806	10777	12806	11313	12806	11036	12806	9985	8703	10133	8552	9843	8399	9551	8245	9196	8088	NA	7931	NA	7771	NA	7610	NA	14448	14448	14448	12806	12806	12806	12806	12806	8703	8552	8399	8245	8088	7931	7771	7610
Ireland 	100-Holding Account	Irving Oil Whitegate Refinery Limited 	11	16576	open	Account holder	Irving Oil Whitegate Refinery Limited	Whitegate	Midleton	Cork	Midleton	Ireland 	11	Irving Oil Whitegate Refinery Limited	IE-GHG013	2005-09-09					Whitegate		Cork	Midleton	IE	NA	NA	21-Refining of mineral oil	NA	NA	NA	NA	NA	NA	398522	411369	398522	376666	398522	360331	389103	366959	389103	314976	389103	310211	389103	285226	389103	313366	257046	294315	252582	279270	248064	358459	243500	313412	238887	NA	234228	NA	229512	NA	224779	NA	398522	398522	398522	389103	389103	389103	389103	389103	257046	252582	248064	243500	238887	234228	229512	224779
