National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Italy 	100-Holding Account	SKF INDUSTRIE S.P.A. 	1	02663880017	open	Account holder	SKF INDUSTRIE S.P.A.	Pinerolo, 42		10060	AIRASCA	Italy 	1	CENTRALE TERMICA	IT-A-1	2006-04-13		SKF INDUSTRIE S.P.A.			Pinerolo, 42		10060	AIRASCA	IT	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	9371	6294	9371	2956	9371	2915	9885	2934	9885	3793	9885	3543	9885	3621	9885	4878	5588	5167	5001	4166	4430	4899	3876	5065	3339	NA	2819	NA	2316	NA	1833	NA	9371	9371	9371	9885	9885	9885	9885	9885	5588	5001	4430	3876	3339	2819	2316	1833
Italy 	100-Holding Account	C&amp;T SpA 	2	01307610426	open	Account holder	C&amp;T SpA	Via Sandro Totti 3		60131	ANCONA	Italy 	2	Centrale a Biomasse C&amp;T - Airasca	IT-A-2	2006-04-13					Via Vicendette, 2/A		10060	AIRASCA	IT	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	2642	4036	2642	904	2642	0	4036	5	4036	1	4036	11	4036	4	4036	0	0	1	0	21	0	2	0	3	0	NA	0	NA	0	NA	0	NA	2642	2642	2642	4036	4036	4036	4036	4036	0	0	0	0	0	0	0	0
Italy 	100-Holding Account	ENERGIE S.r.l. 	3	01833630997	open	Account holder	ENERGIE S.r.l.	Via Sottoripa 7/12		16124	GENOVA	Italy 	3	IMPIANTO DI BARDONECCHIA	IT-A-3	2006-04-04					LOCALITA' COURBE, SNC		10052	BARDONECCHIA - TO	IT	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	20368	32845	20368	42183	20368	40588	39362	45145	39362	37993	39362	43309	39362	40859	39362	35648	17508	31768	14526	19538	11858	18863	10319	19362	8895	NA	7517	NA	6183	NA	4897	NA	20368	20368	20368	39362	39362	39362	39362	39362	17508	14526	11858	10319	8895	7517	6183	4897
Italy 	100-Holding Account	Fenice spa 	4	13032970157	open	Account holder	Fenice spa	Via Acqui 86		10098	Rivoli (TO)	Italy 	4	Centrale termica	IT-A-5	2006-04-04		Fenice S.p.A.	EDF		Via G. Agnelli, 60		10022	CARMAGNOLA	IT	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	14770	16798	14770	15084	14770	13410	15766	10882	15766	10323	15766	11414	15766	7490	15766	7385	8633	7100	0	5690	0	7604	0	8565	0	NA	0	NA	0	NA	0	NA	14770	14770	14770	15766	15766	15766	15766	15766	8633	0	0	0	0	0	0	0
Italy 	100-Holding Account	Martini &amp; Rossi S.p.A. 	5		closed	Account holder	Martini &amp; Rossi S.p.A.	C.so Vittorio Emanuele II, 42		10100	TORINO	Italy 	5	impianti di combustione	IT-A-6	2006-03-31	2011-04-19				Piazza Luigi Rossi, 2		10023	CHIERI	IT	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	5483	5230	5483	4789	5483	4729	5854	4851	0	0	0	0	0		0											NA		NA		NA		NA	5483	5483	5483	5854	0	0	0	0	0	0	0	0	0	0	0	0
Italy 	100-Holding Account	A2A GENCOGAS S.P.A. 	6		open	Account holder	A2A GENCOGAS S.P.A.	Corso di Porta Vittoria, 4		20122	Milano	Italy 	6	CENTRALE TERMOELETTRICA DI CHIVASSO	IT-A-7	2006-04-04					VIA MEZZANO, 69		10034	CHIVASSO - TO	IT	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	2372753	2049460	2455182	2098170	2288729	2075283	2038877	1827635	1936933	1150904	1855378	886531	1753434	924561	1671879	756872	0	227645	0	1	0	144273	0	365829	0	NA	0	NA	0	NA	0	NA	2372753	2455182	2288729	2038877	1936933	1855378	1753434	1671879	0	0	0	0	0	0	0	0
Italy 	100-Holding Account	EPICA SRL 	7	01742830993	closed	Account holder	EPICA SRL	Via Gelasio Adamoli, 269		16138	Genova	Italy 	7	ENERGIA CANAVESE SRL.	IT-A-8	2006-04-13	2013-03-25				via Giacosa, 18		10070	FRONT	IT	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	43023	35814	43023	31454	43023	3946	31835	7427	31835	2502	31835	1679	31835	747	31835	265		Excluded		Excluded		Excluded		Excluded		NA		NA		NA		NA	43023	43023	43023	31835	31835	31835	31835	31835	0	0	0	0	0	0	0	0
Italy 	100-Holding Account	Cartiera SANTA LIDA S.p.A. in liquidazione 	8	12384480153	closed	Account holder	Cartiera SANTA LIDA S.p.A. in liquidazione	Via CELSO MIGLIETTI, 69		10070	GERMAGNANO (TO)	Italy 	8	SABER SANTA LIDA srl	IT-A-9	2006-04-04	2013-03-25		SABER SANTA LIDA SRL		CELSO MIGLIETTI, 69		10070	GERMAGNANO (TO)	IT	NA	NA	9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board	NA	NA	NA	NA	NA	NA	33576	31669	33576	33576	33576	5449	32163	34238	32163	16214	32163	10713	32163	5950	0	0		0								NA		NA		NA		NA	33576	33576	33576	32163	32163	32163	32163	0	0	0	0	0	0	0	0	0
Italy 	100-Holding Account	Fenice spa 	9	13032970157	open	Account holder	Fenice spa	Via Acqui 86		10098	Rivoli (TO)	Italy 	9	Centrale termica	IT-A-10	2006-04-04		Fenice S.p.A.	EDF		Via Rivalta, 30		10095	GRUGLIASCO	IT	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	2050	2558	2050	1876	2050	1867	2193	2061	2193	1944	2193	2647	2193	2255	2193	2290	1596	2226	1428	2000	1153	2135	976	2053	841	NA	710	NA	585	NA	462	NA	2050	2050	2050	2193	2193	2193	2193	2193	1596	1428	1153	976	841	710	585	462
Italy 	100-Holding Account	CARROZZERIA BERTONE S.p.A. 	10	01842040469	closed	Account holder	CARROZZERIA BERTONE S.p.A.	Viale Nuccio BERTONE, 2		10095	GRUGLIASCO	Italy 	10	CARROZZERIA BERTONE S.p.A.	IT-A-11	2006-04-13	2010-09-21				Viale Nuccio BERTONE, 2		10095	GRUGLIASCO	IT	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	20599	12418	20599	9782	20599	8691	21834	9262	21834	0	0	0	0	0	0											NA		NA		NA		NA	20599	20599	20599	21834	21834	0	0	0	0	0	0	0	0	0	0	0
