National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Latvia	100-Holding Account	A/S "Olaines udens un siltums" 	1	50003182001	open	Account holder	A/S "Olaines udens un siltums"	Kudras iela 27	Kudras iela 27	LV-2114	Olaine	Latvia	1	Installation 1	LV-RIT-20-II-SEG-16	2007-12-21			A/S 'Olaines udens un siltums'	850707	Jelgavas iela 4	Jelgavas iela 4	LV-2114	Olaine	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	38309	13994	37565	13842	36849	13428	16259	12806	16259	12929	16259	13846	16259	12273	16259	8031	10467	7327	9367	5792	4149	3156	3630	4128	3127	NA	2640	NA	2170	NA	1717	NA	38309	37565	36849	16259	16259	16259	16259	16259	10467	9367	4149	3630	3127	2640	2170	1717
Latvia	100-Holding Account	Pasvaldibas SIA "Ventspils siltums" 	2	40003007655	open	Account holder	Pasvaldibas SIA "Ventspils siltums"	Brivibas iela 38	Brivibas iela 38	LV-3601	Ventspils	Latvia	2	Installation 2	LV-VE-10-SEG-0002	2007-12-27				44010	Brivibas iela 38	Brivibas iela 38	LV-3600	Ventspils	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	56836	37592	55732	29446	54671	24189	39735	22443	39735	23050	39735	26851	39735	23635	39735	21034	19411	6076	17371	324	15386	21	13462	180	11597	NA	9792	NA	8046	NA	6365	NA	56836	55732	54671	39735	39735	39735	39735	39735	19411	17371	15386	13462	11597	9792	8046	6365
Latvia	100-Holding Account	Pasvaldibas SIA "Ventspils siltums" 	3	40003007655	open	Account holder	Pasvaldibas SIA "Ventspils siltums"	Talsu iela 69		LV-3602	Ventspils	Latvia	3	Installation 3	LV-VE-10-SEG-0001	2007-12-27				44315	Talsu iela 69	Talsu iela 69	LV-3602	Ventspils	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	62965	41165	61767	41178	60615	46106	46247	40655	46247	48676	46247	53505	46247	46652	46247	49252	22995	48126	18680	16631	16441	9950	14390	15370	12404	NA	10482	NA	8623	NA	6830	NA	62965	61767	60615	46247	46247	46247	46247	46247	22995	18680	16441	14390	12404	10482	8623	6830
Latvia	100-Holding Account	A/S "Jelgavas cukurfabrika" 	4	LV40003017988	closed	Account holder	A/S "Jelgavas cukurfabrika"	Cukura iela 22	Cukura iela 22	LV-3002	Jelgava	Latvia	4	Installation 4	LV-JET-SEG-II-02	2008-12-10				310361	Cukura iela 22	Cukura iela 22	LV-3002	Jelgava	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	49337	40331	48486	38051	47666	15004	12381	7501	0		0	Not Reported	0		0											NA		NA		NA		NA	49337	48486	47666	12381	0	0	0	0	0	0	0	0	0	0	0	0
Latvia	100-Holding Account	A/S "Liepajas cukurfabrika" 	5		closed	Account holder	A/S "Liepajas cukurfabrika"	Grizupes iela 2	Grizupes iela 2	LV-3402	Liepaja	Latvia	5	Installation 5	LV-LI-4	2005-11-30				310362	Grîzupes iela 2	Grîzupes iela 2	LV-3402	Liepâja	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	23613	14218	23613	14841	23613	478	NA	0	NA		NA	Not Reported	NA		NA											NA		NA		NA		NA	23613	23613	23613	0	0	0	0	0	0	0	0	0	0	0	0	0
Latvia	100-Holding Account	AS "Latvenergo" TEC-1 	6	40003032949	open	Account holder	AS "Latvenergo" TEC-1	Pulkveþa Brieþa 12	Pulkveþa Brieþa 12	LV-1230	Riga	Latvia	6	Installation 6	LV-RIT-R-II-SEG-06	2007-11-16			A/S 'Latvenergo'	310001	Viskalu iela 16	Viskalu iela 16	LV-1026	Riga	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	368920	381589	363417	416338	358123	385897	444782	329379	444782	313535	444782	350007	444782	320300	444782	282200	190072	257817	170096	311139	150687	310824	131892	373172	113688	NA	96074	NA	79029	NA	62595	NA	368920	363417	358123	444782	444782	444782	444782	444782	190072	170096	150687	131892	113688	96074	79029	62595
Latvia	100-Holding Account	AS "Latvenergo" TEC-2 	7	40003032949	open	Account holder	AS "Latvenergo" TEC-2	Pulkveþa Brieþa 12	Pulkveþa Brieþa 12	LV-1230	Riga	Latvia	7	Installation 7	LV-RIT-R-II-SEG-07	2007-11-16			A/S 'Latvenergo'	310017	P/n Acone	P/n Acone	LV-2119	Salaspils novads	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	986878	619389	973696	629723	961017	567193	735907	638231	956593	584766	956593	857410	956593	813039	956593	615640	312793	817575	272682	627206	241568	742877	211438	739510	182254	NA	154017	NA	126692	NA	100348	NA	986878	973696	961017	735907	956593	956593	956593	956593	312793	272682	241568	211438	182254	154017	126692	100348
Latvia	100-Holding Account	SIA "Fortum Jelgava" 	8	50003549231	open	Account holder	SIA "Fortum Jelgava"	Lidosta 'Riga'	Marupes pagasts	LV- 1053	Marupes pagasts	Latvia	8	Installation 8	LV-JET-SEG-II-04	2007-12-14			SIA 'Fortum Jelgava'	56967	Gan?bu iela 71	Gan?bu iela 71	LV- 3007	Jelgava	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	53044	27740	52014	28822	51023	26886	29309	25635	29309	25083	29309	30678	29309	25354	29309	27217	26658	17983	23858	973	0	471	0	732	0	NA	0	NA	0	NA	0	NA	53044	52014	51023	29309	29309	29309	29309	29309	26658	23858	0	0	0	0	0	0
Latvia	100-Holding Account	SIA 'Fortum Jelgava' 	9	50003549231	open	Account holder	SIA 'Fortum Jelgava'	Lidosta 'Riga'	Marupes pagasts	LV-1053	Rigas rajons	Latvia	9	Installation 9	LV-JET-SEG-II-05	2007-12-14			SIA 'Fortum Jelgava'	42352	R?pniec?bas iela 73	R?pniec?bas iela 73	LV-3008	Jelgava	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	16342	11942	16024	10569	15719	11424	11541	9971	11541	6105	11541	0	11541	60	11541	5	0	0	0	5	0	0	0	0	0	NA	0	NA	0	NA	0	NA	16342	16024	15719	11541	11541	11541	11541	11541	0	0	0	0	0	0	0	0
Latvia	100-Holding Account	SIA "Valmieras siltums" 	10		closed	Account holder	SIA "Valmieras siltums"	Rigas iela 27A	Rigas iela 27A	LV-4201	Valmiera	Latvia	10	Installation 10	LV-VA-2	2005-11-24				43520	Dzelzceïa iela 7	Dzelzceïa iela 7	LV-4201	Valmiera	LV	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	18622	10364	18260	9955	17912	0	NA		NA		NA	Not Reported	NA		NA											NA		NA		NA		NA	18622	18260	17912	0	0	0	0	0	0	0	0	0	0	0	0	0
