National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Luxembourg 	100-Holding Account	Cegyco S.A. 	1	B 58432	open	Account holder	Cegyco S.A.	Avenue Gordon Smith		7750	Colmar Berg	Luxembourg 	1	Cegyco S.A.	EQE200501	2006-06-08		-	-	0	Avenue Gordon Smith		7750	Colmar Berg	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	67356	62428	67356	65258	67356	66589	66999	64327	66999	44988	66999	53430	66999	59052	66999	51228	45226	42118	44439	36669	43652	36882	42865	39683	42078	NA	41291	NA	40504	NA	39717	NA	67356	67356	67356	66999	66999	66999	66999	66999	45226	44439	43652	42865	42078	41291	40504	39717
Luxembourg 	100-Holding Account	Dupont de Nemours Luxembourg 	2	B 9529	open	Account holder	Dupont de Nemours Luxembourg	Rue General Patton		2984	Luxembourg	Luxembourg 	2	Centrale énergétique 'Power'	EQE200502	2006-06-08		-	-	0	Rue General Patton		2984	Luxembourg	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	79588	56226	79588	51371	79588	58352	70485	56414	70485	51255	70485	49560	70485	42203	70485	44369	71885	79354	70021	71144	68161	63742	66314	63372	64473	NA	62645	NA	60822	NA	59020	NA	79588	79588	79588	70485	70485	70485	70485	70485	71885	70021	68161	66314	64473	62645	60822	59020
Luxembourg 	100-Holding Account	Ceduco S.A. 	3	B 47147	closed	Account holder	Ceduco S.A.	Rue General Patton		2984	Contern	Luxembourg 	3	Installation de cogénération	EQE200503	2006-06-08	2013-09-18	-	-	0	Rue Général Patton		2984	Contern	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	74423	58358	74423	62764	74423	28743	68931	41050	68931	22762	68931	38290	68931	36846	68931	34042										NA		NA		NA		NA	74423	74423	74423	68931	68931	68931	68931	68931	0	0	0	0	0	0	0	0
Luxembourg 	100-Holding Account	Guardian Luxguard I 	4	1980 2200059	open	Account holder	Guardian Luxguard I	Route de Luxembourg		4940	Bascharage	Luxembourg 	4	Guardian Luxguard I S.A.	EQE200504	2006-06-08		-	-	0	Route de Luxembourg		4940	Bascharage	LU	NA	NA	31-Manufacture of glass	NA	NA	NA	NA	NA	NA	128035	108456	128035	107855	128035	108008	112618	110790	112618	109984	112618	110294	112618	115636	112618	114012	93104	112479	91487	110480	89851	110182	88198	107608	86527	NA	84839	NA	83131	NA	81417	NA	128035	128035	128035	112618	112618	112618	112618	112618	93104	91487	89851	88198	86527	84839	83131	81417
Luxembourg 	100-Holding Account	Guardian Luxguard II 	5	B 27249	open	Account holder	Guardian Luxguard II	Z.I. Wolser		3452	Dudelange	Luxembourg 	5	Guardian Luxguard II S.A.	EQE200505	2006-06-08		-	-	0	Z.I. Wolser		3452	Dudelange	LU	NA	NA	31-Manufacture of glass	NA	NA	NA	NA	NA	NA	130300	113305	130300	111429	130300	121224	122224	120756	122224	116775	122224	118922	122224	120376	122224	115151	95244	55117	46795	110022	91916	111548	90225	116521	88515	NA	86789	NA	85042	NA	83288	NA	130300	130300	130300	122224	122224	122224	122224	122224	95244	46795	91916	90225	88515	86789	85042	83288
Luxembourg 	100-Holding Account	Cimalux S.A. 	6	B 7466	open	Account holder	Cimalux S.A.	BP 146	50, rue Romain Fandel	4149	Esch/Alzette	Luxembourg 	6	Usine Intermoselle	EQE200506	2006-06-08		-	-	0	Langengrund		3701	Esch/Alzette	LU	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	846079	732271	846079	696782	846079	678223	746132	641079	746132	619940	746132	623802	746132	640357	746132	595040	593160	599535	582858	585892	572434	548004	561901	590961	551255	NA	540506	NA	529622	NA	518701	NA	846079	846079	846079	746132	746132	746132	746132	746132	593160	582858	572434	561901	551255	540506	529622	518701
Luxembourg 	100-Holding Account	Kronospan Luxembourg S.A. 	7	B 46483	open	Account holder	Kronospan Luxembourg S.A.	Z.I. Gadderscheier		4902	Sanem	Luxembourg 	7	Kronospan Luxembourg S.A.	EQE200507	2006-06-08		-	-	0	Z.I. Gadderscheier		4902	Sanem	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	95411	55195	95411	61130	95411	49452	72505	33488	72505	36034	72505	30764	72505	28418	72505	28152	46825	29140	46012	23192	29693	15778	25981	18550	22381	NA	18898	NA	15528	NA	12284	NA	95411	95411	95411	72505	72505	72505	72505	72505	46825	46012	29693	25981	22381	18898	15528	12284
Luxembourg 	100-Holding Account	Luxénergie S.A. 	8		open	Account holder	Luxénergie S.A.	23, avenue J.F. Kennedy		1855	Luxembourg-Kirchberg	Luxembourg 	8	Centrale d'énergie du Kirchberg	EQE200508	2006-06-08		-	-	0	avenue John F. Kennedy		1855	Luxembourg-Kirchberg	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	31883	31829	31883	37471	31883	36303	46705	41130	46705	40789	46705	44628	46705	40805	46705	43647	23914	46046	21333	40838	18840	44392	16439	45794	14125	NA	11898	NA	9755	NA	7703	NA	31883	31883	31883	46705	46705	46705	46705	46705	23914	21333	18840	16439	14125	11898	9755	7703
Luxembourg 	100-Holding Account	Luxénergie S.A. 	9		open	Account holder	Luxénergie S.A.	23, avenue J.F. Kennedy		1855	Luxembourg-Kirchberg	Luxembourg 	9	Centrale d'énergie Stade Josy Barthel	EQE200509	2006-06-08		-	-	0	rue du Stade		2547	Luxembourg	LU	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	15090	11369	15090	11178	15090	9821	19780	10804	19780	11453	19780	13135	19780	12117	19780	12540	5445	12820	4856	13444	4288	14214	3739	14795	3213	NA	2706	NA	2217	NA	1750	NA	15090	15090	15090	19780	19780	19780	19780	19780	5445	4856	4288	3739	3213	2706	2217	1750
Luxembourg 	100-Holding Account	Luxlait Association Agricole 	10	H4	open	Account holder	Luxlait Association Agricole	27, boulevard Marcel Cahen		1311	Luxembourg	Luxembourg 	10	Luxlait Association Agricole	EQE200510	2006-06-08		-	-	0	boulevard Marcel Cahen 27		1311	Luxembourg	LU	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	8021	5892	8021	5768	8021	6036	3883	6777	3883	6838	4087	Not Reported	3883	Not Reported	0	Not Reported		Not Reported		Not Reported		Not Reported		Not Reported		NA		NA		NA		NA	8021	8021	8021	3883	3883	4087	3883	0	0	0	0	0	0	0	0	0
