National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Netherlands	100-Holding Account	Stichting Taqa Long Term Incentive Plan 	1	27305268	closed	Account holder	Stichting Taqa Long Term Incentive Plan	Bezuidenhoutseweg		2594 AW	'S-GRAVENHAGE	Netherlands	1	TAQA Onshore B.V.	NL-200400164	2005-01-01					Helderseweg 85		1817 BB	ALKMAAR	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	48105	43415	48105	41852	48106	26869	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	48105	48105	48106	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Stichting Taqa Long Term Incentive Plan 	2	27305268	closed	Account holder	Stichting Taqa Long Term Incentive Plan	Bezuidenhoutseweg		2594 AW	'S-GRAVENHAGE	Netherlands	2	TAQA Offshore B.V., P15-C-D	NL-200400163	2005-01-01					Noorzee Blok 15, p.a. Prinses Margrietplantsoen 40		2595 BR	DEN HAAG	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	98527	130561	98527	105261	98527	114479	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	98527	98527	98527	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Wintershall Noordzee B.V. 	3	27100034	closed	Account holder	Wintershall Noordzee B.V.	Bogaardplein 47		2284 DP	RIJSWIJK ZH	Netherlands	3	Wintershall Noordzee B.V. Kotter K18	NL-200400178	2005-01-01	2012-12-31				Bogaardplein 47		2284 DP	RIJSWIJK	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	37477	21174	37477	25798	37477	22768	32140	18619	32139	8179	32139	7015	32139	7280	32139	3682										NA		NA		NA		NA	37477	37477	37477	32140	32139	32139	32139	32139	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Wintershall Noordzee B.V. 	4	27100034	closed	Account holder	Wintershall Noordzee B.V.	Bogaardplein 47		2284 DP	RIJSWIJK ZH	Netherlands	4	Wintershall Noordzee B.V. P6-A	NL-200400179	2005-01-01					Bogaardplein 47		2284 DP	RIJSWIJK	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	51591	60060	51591	46450	51592	48488	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	51591	51591	51592	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Vermilion Oil &amp; Gas Netherlands B.V. 	5	34201179	closed	Account holder	Vermilion Oil &amp; Gas Netherlands B.V.	Postbus 71		8860 AB	HARLINGEN	Netherlands	5	Vermilion Oil &amp; Gas B.V. Gasbeh. St.Harlingen	NL-200400189	2005-01-01					Zuidwalweg 2		8861 NV	HARLINGEN	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	47288	43913	47288	34956	47288	28054	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	47288	47288	47288	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	N.V. Nederlandse Gasunie 	6	02029700	closed	Account holder	N.V. Nederlandse Gasunie	Concourslaan 17		9727 KC	GRONINGEN	Netherlands	6	Nederlandse Gasunie CS Ommen N.V.	NL-200400106	2005-01-01					Vilsterse Allee 11a		7734 PB	VILSTEREN	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	49270	63266	49269	69968	49269	27326	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	49270	49269	49269	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	N.V. Nederlandse Gasunie 	7	02029700	closed	Account holder	N.V. Nederlandse Gasunie	Concourslaan 17		9727 KC	GRONINGEN	Netherlands	7	Nederlandse Gasunie CS Ravenstein N.V.	NL-200400102	2005-01-01					Ganzenweg 10		5371 HA	RAVENSTEIN	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	91028	158742	91027	122674	91027	56512	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	91028	91027	91027	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	N.V. Nederlandse Gasunie 	8	02029700	closed	Account holder	N.V. Nederlandse Gasunie	Concourslaan 17		9727 KC	GRONINGEN	Netherlands	8	Nederlandse Gasunie CS Spijk N.V.	NL-200400014	2005-01-01					Vierhuizerweg 1		9909 TM	SPIJK	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	32927	51512	32927	57339	32927	59347	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	32927	32927	32927	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	100-Holding Account	Nederlandse Aardolie Maatschappij B.V. 	9	04008869	open	Account holder	Nederlandse Aardolie Maatschappij B.V.	Schepersmaat 2		9405 TA	ASSEN	Netherlands	9	NAM B.V. gaszuiveringsinstallatie (GZI) Emmen	NL-200400269	2005-01-01					Phileas Foggstraat 45		7825 AL	EMMEN	NL	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	74645	63675	74645	53650	74646	49033	58966	48391	58965	54547	58965	55619	58965	43765	58965	43119	37506	59104	36855	45207	36196	52326	35530	51463	34856	NA	34177	NA	33489	NA	32798	NA	74645	74645	74646	58966	58965	58965	58965	58965	37506	36855	36196	35530	34856	34177	33489	32798
Netherlands	100-Holding Account	Centrica Production Nederland B.V. 	10	34081068	closed	Account holder	Centrica Production Nederland B.V.	Polarisavenue 39 Transpolis		2132 JH	HOOFDDORP	Netherlands	10	Centrica Production Nederland B.V.	NL-200400130	2005-01-01					Transpolis Building, Polarisavenue 39		2132 JH	HOOFDDORP	NL	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	109984	91969	109984	89528	109983	113513	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	109984	109984	109983	0	0	0	0	0	0	0	0	0	0	0	0	0
