National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Poland	100-Holding Account	PGE Górnictwo i Energetyka Konwencjonalna S.A. 	1	000560207	open	Account holder	PGE Górnictwo i Energetyka Konwencjonalna S.A.	Węglowa 5		97-400	Bełchatów	Poland	1	PGE GiEK S.A. Oddział Elektrownia Bełchatów	PL-0001-05	2005-01-01				05E000016	Energetyczna 7		97-406	Bełchatów	PL	51.16	19.19	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	30794300	31970055	30794300	30083123	30794300	28322323	26937155	30862792	26937155	29473072	26937155	29659590	26937155	32823146	31749901	35193844	149956/16666445****	37178165	135194/15406416****	36886458	110940/13391030****	37051920	93729/10189114****	34941622	78505	NA	67387	NA	59075	NA	51048	NA	30794300	30794300	30794300	26937155	26937155	26937155	26937155	31749901	16816401	15541610	13501970	10282843	78505	67387	59075	51048
Poland	100-Holding Account	PGE Górnictwo i Energetyka Konwencjonalna S.A. 	2	000560207	open	Account holder	PGE Górnictwo i Energetyka Konwencjonalna S.A.	Węglowa 5		97-400	Bełchatów	Poland	2	PGE GiEK S.A. Oddział Elektrownia Opole	PL-0002-05	2005-01-01				08O000017	Brzezie koło Opola 46-021		46-021	Brzezie k/ Opola	PL	50.45	17.53	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	7343200	7175432	7343200	7345308	7343200	7553832	6475340	6911327	6475340	7413193	6475340	6770075	6475340	6872050	6475340	6252718	45263/3837634****	6321343	40096/3547498****	6422060	35489/3083433****	5821226	31063/2346156****	5917008	26776	NA	22627	NA	18612	NA	14742	NA	7343200	7343200	7343200	6475340	6475340	6475340	6475340	6475340	3882897	3587594	3118922	2377219	26776	22627	18612	14742
Poland	100-Holding Account	PGE Górnictwo i Energetyka Konwencjonalna S.A. 	3	000560207	open	Account holder	PGE Górnictwo i Energetyka Konwencjonalna S.A.	Węglowa 5		97-400	Bełchatów	Poland	3	PGE GiEK S.A. Oddział Elektrownia Turów	PL-0003-05	2005-01-01				01D000018	Młodych Energetyków 12		59-916	Bogatynia	PL	50.56	14.54	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	12959600	12755644	12959600	12959909	12959600	12331508	11158636	12879526	11158636	11624371	11158636	10656954	11158636	10776551	11158636	10900042	51951/6709155****	9994790	45976/6201924****	8140101	40583/5390621****	7595544	35778/4101675****	7838244	31526	NA	27805	NA	25226	NA	23163	NA	12959600	12959600	12959600	11158636	11158636	11158636	11158636	11158636	6761106	6247900	5431204	4137453	31526	27805	25226	23163
Poland	100-Holding Account	ENEA WYTWARZANIE SP. Z O.O. 	4	670908367	open	Account holder	ENEA WYTWARZANIE SP. Z O.O.	ŚWIERŻE GÓRNE		26-900	KOZIENICE	Poland	4	ELEKTROWNIA KOZIENICE	PL-0004-05	2005-01-01				07W000084	ŚWIERŻE GÓRNE		26-900	KOZIENICE	PL	51.39	21.28	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	10538600	10243459	10538600	10846565	10538600	10546967	9636619	10004616	9636619	10686735	9636619	10835725	9636619	10299069	9636619	9925556	26297/5428606****	10230491	23434/5018189****	10960698	20673/2545343****	11393513	18035/3008656****	12006243	15546	NA	13137	NA	10806	NA	8559	NA	10538600	10538600	10538600	9636619	9636619	9636619	9636619	9636619	5454903	5041623	2566016	3026691	15546	13137	10806	8559
Poland	100-Holding Account	ENGIE Energia Polska Spółka Akcyjna 	5	830273037	open	Account holder	ENGIE Energia Polska Spółka Akcyjna	Zawada 26		28-230	Połaniec	Poland	5	Instalacja do spalania paliw	PL-0005-05	2005-01-01				13P000086	Zawada 26		28-230	Połaniec	PL	50.26	21.2	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	7250000	4363815	7250000	5623632	7250000	5469380	4972620	5139790	4972620	6024281	4972620	7290568	4972620	7070253	4979286	6426108	147268/2696073****	5566819	143262/2492243****	6118214	139398/2166221****	6299450	135852/204565****	7733638	132571	NA	129321	NA	126099	NA	122907	NA	7250000	7250000	7250000	4972620	4972620	4972620	4972620	4979286	2843341	2635505	2305619	340417	132571	129321	126099	122907
Poland	100-Holding Account	EDF Polska Spółka Akcyjna 	6	273204260	open	Account holder	EDF Polska Spółka Akcyjna	Złota 59		00-120	Warszawa	Poland	6	EDF Polska S.A. Oddział w Rybniku	PL-0006-05	2005-01-01				12S000087	Podmiejska		44-207	Rybnik	PL	50.08	18.31	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	8520800	8610371	8520800	8642969	8520800	8423079	7607030	8121792	7607030	7244279	7607030	8229363	7607030	8247038	7607030	7932724	14131/4754073****	8385181	12232/4226839****	7246717	10470/167813****	6548392	8842	7050817	7346	NA	6056	NA	4981	NA	3946	NA	8520800	8520800	8520800	7607030	7607030	7607030	7607030	7607030	4768204	4239071	178283	8842	7346	6056	4981	3946
Poland	100-Holding Account	CEZ Skawina S.A. 	7	351150710	open	Account holder	CEZ Skawina S.A.	Piłsudskiego 10		32-050	Skawina	Poland	7	CEZ SKAWINA S.A.	PL-0007-05	2005-01-01				1.1	Piłsudskiego 10		32-050	Skawina	PL	49.58	19.48	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	2895200	2577259	2895200	2764094	2895200	2685215	2332423	1670574	2332423	1230055	2332423	1213232	2332423	1100009	2332423	999459	161494/920872****	1502218	136696	1516040	114188	1564082	93925	1511824	77852	NA	65964	NA	54460	NA	43370	NA	2895200	2895200	2895200	2332423	2332423	2332423	2332423	2332423	1082366	136696	114188	93925	77852	65964	54460	43370
Poland	100-Holding Account	TAURON WYTWARZANIE S.A. 	8	276854946	open	Account holder	TAURON WYTWARZANIE S.A.	Promienna 51		43-603	Jaworzno	Poland	8	TAURON Wytwarzanie SA O. Elektrownia Stalowa Wola	PL-0008-05	2005-01-01				09R000083	Energetyków 13		37-450	Stalowa Wola	PL	50.33	22.04	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	1392800	1177301	1392800	1209962	1392800	1212493	1025950	1175209	1025950	1107982	1025950	1221164	1025950	1198472	1025950	917570	261493/540357****	1076397	214938/489899****	423242	173517	832521	137085	521244	105416	NA	78310	NA	55556	NA	36984	NA	1392800	1392800	1392800	1025950	1025950	1025950	1025950	1025950	801850	704837	173517	137085	105416	78310	55556	36984
Poland	100-Holding Account	TAURON WYTWARZANIE S.A. 	9	276854946	open	Account holder	TAURON WYTWARZANIE S.A.	Promienna 51		43-603	Jaworzno	Poland	9	TAURON Wytwarzanie SA O. Elektrownia Jaworzno III	PL-0009-05	2005-01-01				12S000298	Promienna 51		43-603	JAWORZNO	PL	50.12	19.12	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	5548400	4751550	5548400	5993992	5548400	6953092	5225963	5644891	5225963	5650220	5225963	6220247	5225963	6226895	5225963	5922397	8272/3117300****	6254559	8379/2826211****	3950789	7814	4519062	7266	4514460	6732	NA	6213	NA	5708	NA	5220	NA	5548400	5548400	5548400	5225963	5225963	5225963	5225963	5225963	3125572	2834590	7814	7266	6732	6213	5708	5220
Poland	100-Holding Account	TAMEH Polska Sp. z o. o. 	10		open	Account holder	TAMEH Polska Sp. z o. o.	Al. Marszałka Józefa Piłsudskiego 92/102B		41-308	Dąbrowa Górnicza	Poland	10	Zakład Wytwarzania Blachownia	PL-0010-05	2005-01-01				08O000082	Energetyków 11		47-225	KĘDZIERZYN - KOŹLE	PL	50.21	18.17	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	710200	358185	710200	365946	710200	480286	346727	336399	346727	347766	346727	359889	346727	323507	346727	277868	44874/179118****	299299	30288	281027	27989	284908	25759	277601	23590	NA	21484	NA	19440	NA	17463	NA	710200	710200	710200	346727	346727	346727	346727	346727	223992	30288	27989	25759	23590	21484	19440	17463
