National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Portugal 	100-Holding Account	Gopaca - Fábrica de Papel e Cartão, S.A. 	1	502863200	closed	Account holder	Gopaca - Fábrica de Papel e Cartão, S.A.	Lugar da Azenha		4536	Paços de Brandão	Portugal 	1	Gopaca - Fábrica de Papel e Cartão, S.A.	13	2005-11-25	2009-01-01			100001999	Lugar da Azenha		4536	Paços de Brandão	PT	40.97	-8.59	9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	Not Reported	0		0	Not Reported	0											NA		NA		NA		NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Portugal 	100-Holding Account	Cerâmica Outeiro do Seixo, S.A. 	2	500062013	open	Account holder	Cerâmica Outeiro do Seixo, S.A.	Cabeça Gorda		2565-001	Campelos	Portugal 	2	Cerâmica Outeiro do Seixo, S.A.	84	2005-11-25				100001734	Cabeça Gorda		2565-001	Campelos	PT	39.18	-9.26	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	10326	8605	10326	7776	10326	6615	10689	6888	10689	5894	10689	5966	10689	3144	10689	845	13053	3330	9121	3893	8958	4670	12365	6514	12131	NA	11894	NA	11655	NA	11414	NA	10326	10326	10326	10689	10689	10689	10689	10689	13053	9121	8958	12365	12131	11894	11655	11414
Portugal 	100-Holding Account	Sovena Oilseeds Portugal, S.A. 	3	500278571	open	Account holder	Sovena Oilseeds Portugal, S.A.	Rua Dr. António Loureiro Borges, nº2, 3º	Edifício Arquiparque 2, Miraflores	1495-131	Algés	Portugal 	3	Sovena Oilseeds Portugal, S.A.	72	2005-11-25				100002690	Palença de Baixo, Apartado 24		2801-801	Almada	PT	38.67	-9.17	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	11667	8178	11667	10806	11667	9326	24328	14276	24328	19892	24328	13579	24328	11232	24328	10870	38752	18272	37912	17832	37854	15343	37158	11207	36454	NA	35743	NA	35023	NA	34301	NA	11667	11667	11667	24328	24328	24328	24328	24328	38752	37912	37854	37158	36454	35743	35023	34301
Portugal 	100-Holding Account	Cerâmica de São Paulo, S.A 	4	500062137	closed	Account holder	Cerâmica de São Paulo, S.A	IC2, Km 32 - Apartado 7		2584	Carregado	Portugal 	4	Cerâmica de São Paulo, S.A	204	2005-11-25				100026060	IC2, Km 32 - Apartado 7		2584	Carregado	PT	39.02	-8.96	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	NA	NA	NA	NA	NA	NA	6496	4939	6496	4400	6496	6527	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	6496	6496	6496	0	0	0	0	0	0	0	0	0	0	0	0	0
Portugal 	100-Holding Account	MICROLIME - Produtos de Cal e Derivados, S.A. 	5	504866362	open	Account holder	MICROLIME - Produtos de Cal e Derivados, S.A.	Apartado 17		2841-906	Aldeia de Paio Pires	Portugal 	5	Microlime	32	2005-11-25				100005298	Apartado 17		2841-906	Aldeia de Paio Pires	PT	38.62	-9.07	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	31948	30822	31948	32105	31948	40270	37767	39458	37767	30811	37767	35196	37767	41311	46912	35808	33187	42487	32611	37973	32028	35449	31439	37290	30843	NA	30242	NA	29632	NA	29022	NA	31948	31948	31948	37767	37767	37767	37767	46912	33187	32611	32028	31439	30843	30242	29632	29022
Portugal 	100-Holding Account	Prado-Cartolinas da Lousã, S.A 	6	505853825	open	Account holder	Prado-Cartolinas da Lousã, S.A	Lugar do Penedo - Lousã		3200-901	Lousã	Portugal 	6	Prado-Cartolinas da Lousã, S.A	65	2005-11-25				100008749	Lugar do Penedo - Lousã		3200-901	Lousã	PT	40.1	-8.24	36-Production of paper or cardboard	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7347	0	7233	0	7500	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Portugal 	100-Holding Account	UCHERÂMICA - Cerâmica da Ucha, Lda 	7	500291357	closed	Account holder	UCHERÂMICA - Cerâmica da Ucha, Lda	Lugar do Rego		4750	Barcelos	Portugal 	7	UCHERÂMICA - Cerâmica da Ucha, Lda	114	2005-11-25				100002484	Lugar do Rego		4750	Barcelos	PT	41.58	-8.51	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	NA	NA	NA	NA	NA	NA	4696	901	4696	1265	4696	356	NA		NA	Not Reported	NA	Not Reported	NA		NA											NA		NA		NA		NA	4696	4696	4696	0	0	0	0	0	0	0	0	0	0	0	0	0
Portugal 	100-Holding Account	Fábrica de Papel de Ponte Redonda, S.A. 	8	508513928	open	Account holder	Fábrica de Papel de Ponte Redonda, S.A.	Rua de Ponte Redonda, n.º 2700		4501-851	Espinho	Portugal 	8	Fábrica de Papel de Ponte Redonda, S.A.	87	2005-11-25				100005245	Rua de Ponte Redonda, n.º 2700		4501-851	Espinho	PT	40.98	-8.61	36-Production of paper or cardboard	NA	NA	NA	NA	NA	NA	2049	2322	2049	2089	2049	2370	4881	2049	4881	1324	4881	1680	4881	1764	4881	910	883	858	867	936	1353	1382	1327	1742	1303	NA	1277	NA	1252	NA	1226	NA	2049	2049	2049	4881	4881	4881	4881	4881	883	867	1353	1327	1303	1277	1252	1226
Portugal 	100-Holding Account	Saramagos - Soc.Prod.Energia, S.A 	9	504497553	closed	Account holder	Saramagos - Soc.Prod.Energia, S.A	Avenida Riopele, n.º 946, Pousada de Saramagos		4770-405	Vila Nova de Famalicão	Portugal 	9	Saramagos	170	2005-11-25	2011-12-12			100008427	Avenida Riopele, n.º 946, Pousada de Saramagos		4770-405	Vila Nova de Famalicão	PT	41.42	-8.43	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	47751	34382	47751	37833	47751	43164	56675	36727	56675	40811	56675	36243	56675	23328	0	Not Reported										NA		NA		NA		NA	47751	47751	47751	56675	56675	56675	56675	0	0	0	0	0	0	0	0	0
Portugal 	100-Holding Account	CONSTRUCER - Cerâmica de Construção, S.A 	10	501814442	closed	Account holder	CONSTRUCER - Cerâmica de Construção, S.A	Apartado 12 - Avelãs de Caminho		3781-901	Avelãs de Caminho	Portugal 	10	CONSTRUCER - Cerâmica de Construção, S.A	110	2005-11-25	2013-06-16			100005197	Apartado 12 - Avelãs de Caminho		3781-901	Avelãs de Caminho	PT	40.47	-8.43	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	3326	0	3326	24	3326	0	408	0	408	0	408	0	408	0	408	0	6231	957	0	Not Reported	0	Not Reported	0	Not Reported	0	NA	0	NA	0	NA	0	NA	3326	3326	3326	408	408	408	408	408	6231	0	0	0	0	0	0	0
