National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Romania	100-Holding Account	SC LASSELBERGER SA 	1	RO446209	closed	Account holder	SC LASSELBERGER SA	Str. Zarii, Nr.12, Sector 5		0	Bucuresti	Romania	1	SC Las.berg. SA Punct de lucru Lugoj	RO-05-14-2007	2008-04-18	2011-06-10	SC Lasselsberger SA Punct de lucru Lugoj	SC Lasselsberger SA		Str. Timisorii, nr 149-151		305500	Lugoj	RO	NA	NA	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	NA	NA	NA	NA	NA	NA	0		0		10292	10894	9107	9059	9107	0	0	0	0	Not Reported	0											NA		NA		NA		NA	0	0	10292	9107	9107	0	0	0	0	0	0	0	0	0	0	0
Romania	100-Holding Account	United Romanian Breweries Bereprod SRL 	2	5857302	open	Account holder	United Romanian Breweries Bereprod SRL	B-dul Unirii, nr.27, Bl 15, Sc. 2, et 1,  Ap. 24	sector 5 Bucuresti	040103	BUCURESTI	Romania	2	United RO Breweries Bereprod SRL	RO-88-2013	2008-04-18		United Romanian Breweries Bereprod SRL	United Romanian Breweries Bereprod SRL		Bd. Biruintei, Nr. 89		077145	Pantelimon	RO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	0		0		6999	9397	9797	11168	15258	10150	15258	11719	15258	11062	15257	10536	6953	9236	6222	10406	5511	11932	4822	11137	4154	NA	3507	NA	2882	NA	2280	NA	0	0	6999	9797	15258	15258	15258	15257	6953	6222	5511	4822	4154	3507	2882	2280
Romania	100-Holding Account	S Complexul Energetic Oltenia SA 	3	RO30267310	open	Account holder	S Complexul Energetic Oltenia SA	Str.Alexandru Ioan Cuza, nr.5	Str. Bariera Vâlcii, nr. 195	210227	Tg. Jiu	Romania	3	S Complexul Energetic Oltenia S.A. -SE Craiova II	RO-201	2008-04-18		S Complexul Energetic Oltenia SA - SE Craiova II	S Complexul Energetic Oltenia SA		Str. Bariera Vâlcii, nr. 195		200717	Craiova	RO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	0		0		1641882	2022746	1445035	2257591	1445034	1797740	1445034	1495325	1445034	1962612	1445034	1619393	315646/718022****	1120185	257082/307724****	1164735	205255/512873****	1241520	159966/410298****	1303931	120917	NA	87841	NA	60461	NA	46444	NA	0	0	1641882	1445035	1445034	1445034	1445034	1445034	1033668	564806	718128	570264	120917	87841	60461	46444
Romania	100-Holding Account	CUPROM SA Bucuresti - Sucursala Baia Mare 	4	15521953	open	Account holder	CUPROM SA Bucuresti - Sucursala Baia Mare	Str. Monetariei Nr. 8 , Corp B , Etaj II, Sector 2	Str. Eliberarii, nr 15	430334	Baia Mare	Romania	4	CUPROM SA Buc.-Sucurs.BaiaMare	RO-06-08-2006	2008-04-18		CUPROM SA Bucuresti - Sucursala Baia Mare	CUPROM SA Bucuresti - Sucursala Baia Mare		Str. Eliberarii, nr 15		430334	Baia Mare	RO	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	0		0		19186	12335	19245	9933	19245	212	19245	62	19245	18	19244	15		Excluded		Excluded		Excluded		Excluded		NA		NA		NA		NA	0	0	19186	19245	19245	19245	19245	19244	0	0	0	0	0	0	0	0
Romania	100-Holding Account	Directia de Termoficare a Municipiului Bistrita 	5	19124328	closed	Account holder	Directia de Termoficare a Municipiului Bistrita	Str. Parcului nr.1	Str. Zefirului nr.1	545300	Bistrita Nasaud	Romania	5	Dir.deTermoficare a Municip. Bistrita	RO-07-9-2006	2008-04-18	2007-12-31	Directia de Termoficare a Municipiului Bistrita	Directia de Termoficare a Municipiului Bistrita		Str. Zefirului nr.1		545300	Bistrita Nasaud	RO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	0		0		5597	4920	NA	Not Reported	NA	Not Reported	NA	Not Reported	NA	Not Reported	NA	Not Reported										NA		NA		NA		NA	0	0	5597	0	0	0	0	0	0	0	0	0	0	0	0	0
Romania	100-Holding Account	CRH Ciment (Romania) SA 	6	RO328750	open	Account holder	CRH Ciment (Romania) SA	Piata Charles de Gaulle nr.15, etaj 2, sector 1	Bucuresti	011857	Bucuresti	Romania	6	CRH Ciment (RO) SA-Punct de lucru Hoghiz	RO-138-2013	2008-04-18		CRH Ciment (RO) SA-Punct de lucru Hoghiz	CRH Ciment (Romania) SA		Padurii nr 1		507095	Hoghiz	RO	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	0		0		1078285	797476	1306086	920649	1306085	684340	1306085	598530	1306085	635868	1306085	693187	695527	610714	683446	633988	671223	844876	658873	754153	646390	NA	633785	NA	621024	NA	608218	NA	0	0	1078285	1306086	1306085	1306085	1306085	1306085	695527	683446	671223	658873	646390	633785	621024	608218
Romania	100-Holding Account	CRH Ciment (Romania) SA 	7	RO328750	open	Account holder	CRH Ciment (Romania) SA	Piata Charles de Gaulle nr.15, etaj 2, sector 1	Bucuresti	011857	Bucuresti	Romania	7	CRH Ciment (RO) SA-Punct de lucru Medgidia	RO-137-2013	2008-04-18		CRH Ciment (RO) SA-Punct de lucru Medgidia	CRH Ciment (Romania) SA		Poporului nr 1		905600	Medgidia	RO	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	0		0		2027562	1863859	2352270	1702616	2352270	730566	2352270	519648	2352270	625930	2352269	859722	1438273	528138	706646	650560	694009	848776	1362478	862394	1336664	NA	1310599	NA	1284209	NA	1257728	NA	0	0	2027562	2352270	2352270	2352270	2352270	2352269	1438273	706646	694009	1362478	1336664	1310599	1284209	1257728
Romania	100-Holding Account	OMV PETROM SA 	8	1590082	closed	Account holder	OMV PETROM SA	Strada Coralilor nr. 22, Sector 1		013329	Bucuresti	Romania	8	Statia de Dezbenzinare Merisani	RO-AG-15-2007	2008-04-18	2011-04-29	Statia de Dezbenzinare Merisani	PETROM SA		Merisani		117455	Merisani	RO	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	0		0		24654	11489	21686	10548	21686	0	0	0	0	0	0											NA		NA		NA		NA	0	0	24654	21686	21686	0	0	0	0	0	0	0	0	0	0	0
Romania	100-Holding Account	OMV PETROM SA 	9	1590082	open	Account holder	OMV PETROM SA	Strada Coralilor nr. 22, Sector 1		013329	Bucuresti	Romania	9	Sectia Terminal Midia	RO-179-2013	2008-04-18		Sectia Terminal Midia	PETROM SA - Membru OMV GRUP		Corbu, str. Petromarului, nr. 2		900900	Constanta	RO	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	0		0		18680	22769	15897	22552	15897	34991	106973	31412	106972	36446	54854	30416	13566	39358	13330	36081	13092	38389	12851	37104	12608	NA	12362	NA	12113	NA	11863	NA	0	0	18680	15897	15897	106973	106972	54854	13566	13330	13092	12851	12608	12362	12113	11863
Romania	100-Holding Account	OMV PETROM SA 	10	1590082	closed	Account holder	OMV PETROM SA	Strada Coralilor nr. 22, Sector 1		013329	Bucuresti	Romania	10	Platf.FixaCentr.deProduct.(PFCP),Sect.6&amp;7Prod.	RO-CT-40-2007	2008-04-18	2013-01-01	Platf.FixaCentr.deProduct.(PFCP),Sect.6&amp;7Prod.	PETROM SA - Membru OMV GRUP		Incinta Port-Dana 34		900900	Constanta	RO	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	0		0		80844	204939	62607	123130	62607	112299	62607	116581	62607	111085	62606	93596										NA		NA		NA		NA	0	0	80844	62607	62607	62607	62607	62606	0	0	0	0	0	0	0	0
