National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Slovakia	100-Holding Account	STEFE Banská Bystrica, a.s. 	1	36024473	open	Account holder	STEFE Banská Bystrica, a.s.	Zvolenská cesta 1		97405	Banská Bystrica	Slovakia	1	Tepláreň Radvaň	601-001-2012	2008-01-01			STEFE Banská Bystrica, a.s.		Zvolenská cesta 1		97405	Banská Bystrica	SK	48.43	19.08	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	37541	23371	37541	24191	37540	25895	32600	23516	32600	23280	32600	23094	32600	20340	32600	13057	9725	12305	8673	12435	7684	12701	6725	13386	5797	NA	4899	NA	4030	NA	3192	NA	37541	37541	37540	32600	32600	32600	32600	32600	9725	8673	7684	6725	5797	4899	4030	3192
Slovakia	100-Holding Account	Tate &amp; Lyle Boleraz, s.r.o. 	3	31411011	open	Account holder	Tate &amp; Lyle Boleraz, s.r.o.	Boleráz		91908	Boleráz	Slovakia	3	Tate &amp; Lyle Boleraz, s.r.o.	207-002-2012	2008-01-01			Tate &amp; Lyle, s.r.o.	8.b.ii	Boleráz		91908	Boleráz	SK	48.47	17.5	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	39045	39586	39045	46781	39045	44950	44200	55380	44200	49229	66500	51840	73200	58929	73200	57082	42263	52288	41528	59480	40793	60606	40056	59805	39321	NA	38586	NA	37851	NA	37116	NA	39045	39045	39045	44200	44200	66500	73200	73200	42263	41528	40793	40056	39321	38586	37851	37116
Slovakia	100-Holding Account	A.N.B. a.s. 	4	35732032	closed	Account holder	A.N.B. a.s.	Bystrická 657/7		96681	Žarnovica	Slovakia	4	A.N.B. a.s.	612-001-2005	2006-02-10					Bystrická 657/7		96681	Žarnovica	SK	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	1892	12	1892	55	1891	21	NA		NA		NA	Not Reported	NA		NA											NA		NA		NA		NA	1892	1892	1891	0	0	0	0	0	0	0	0	0	0	0	0	0
Slovakia	100-Holding Account	AVC, a.s. 	5	31561306	closed	Account holder	AVC, a.s.	Slobody 1360		02211	Čadca	Slovakia	5	AVC, a.s.	502-002-2005	2005-12-21			AVC, a.s.		Slobody 1360		02211	Čadca	SK	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	5197	1997	5196	941	5196	0	NA		NA		NA	Not Reported	NA		NA											NA		NA		NA		NA	5197	5196	5196	0	0	0	0	0	0	0	0	0	0	0	0	0
Slovakia	100-Holding Account	Bekaert Hlohovec a. s. 	6	36234052	closed	Account holder	Bekaert Hlohovec a. s.	Mierová 2317		92028	Hlohovec	Slovakia	6	Bekaert Hlohovec a.s.	203-002-2005	2008-01-01	2012-05-02		Bekaert Hlohovec a. s.		Mierová 2317		92028	Hlohovec	SK	NA	NA	1-Combustion installations with a rated thermal input exceeding 20 MW	NA	NA	NA	NA	NA	NA	18792	7531	18792	7417	18792	7253	7480	8134	7480	6744	7480	250	7480	0	0											NA		NA		NA		NA	18792	18792	18792	7480	7480	7480	7480	0	0	0	0	0	0	0	0	0
Slovakia	100-Holding Account	Biotika a.s. 	7	31561900	open	Account holder	Biotika a.s.	Slovenská Ľupča 566		97613	Slovenská Ľupča	Slovakia	7	Prevádzka Energetika Biotika, a.s., Slov. Ľupča	601-005-2012	2008-01-01			Biotika a.s.		Slovenská Ľupča 566		97613	Slovenská Ľupča	SK	48.7	19.14	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	58417	28193	58416	20198	58416	23173	52561	23420	52561	18828	52561	19221	52561	20652	52561	17818	15874	19849	15598	15464	15319	15097	15037	14738	14752	NA	14464	NA	14173	NA	13881	NA	58417	58416	58416	52561	52561	52561	52561	52561	15874	15598	15319	15037	14752	14464	14173	13881
Slovakia	100-Holding Account	TIMMA s.r.o. 	8	36624985	closed	Account holder	TIMMA s.r.o.	Námestie A. Hlinka 3/816		01011	Žilina	Slovakia	8	TIMMA s.r.o.	606-001-2005	2008-01-01	2012-05-02		TIMMA s.r.o.		Zvolenská cesta 2740		98401	Lučenec	SK	NA	NA	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	NA	NA	NA	NA	NA	NA	34286	27146	34285	21330	34285	15495	39433	10550	39433	2994	39433	57	39433	5	0	Not Reported										NA		NA		NA		NA	34286	34285	34285	39433	39433	39433	39433	0	0	0	0	0	0	0	0	0
Slovakia	100-Holding Account	Bratislavská teplárenská, a.s. 	9	35823542	open	Account holder	Bratislavská teplárenská, a.s.	Bajkalská 21/A		82905	Bratislava	Slovakia	9	Tepláreň II (Tepláreň Východ)	103-012-2012	2008-01-01			Bratislavská teplárenská, a.s.	1.1	Turbínova 3		83226	Bratislava 3	SK	48.32	17.15	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	132530	119341	132530	87439	132530	38762	103390	39938	103390	39339	103390	41099	103390	26282	103390	28619	34740	30641	31598/13335*****	136535	51480/11907*****	136695	45658/10525*****	137191	40014/9186*****	NA	34551/7888*****	NA	29260/6633*****	NA	24157/5423*****	NA	132530	132530	132530	103390	103390	103390	103390	103390	34740	44933	63387	56183	49200	42439	35893	29580
Slovakia	100-Holding Account	Bratislavská teplárenská, a.s. 	10	35823542	open	Account holder	Bratislavská teplárenská, a.s.	Bajkalská 21/A		82905	Bratislava	Slovakia	10	Tepláreň západ	104-013-2012	2008-01-01			Bratislavská teplárenská, a.s.	1.1.	Polianky 6		84101	Bratislava 42	SK	48.1	17.04	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	121764	101300	121764	94469	121764	85028	97884	84369	97884	83582	97884	87459	97884	78038	97884	69910	62358	61274	55804	49413	49437	54288	43271	55730	37298	NA	31519	NA	25928	NA	20536	NA	121764	121764	121764	97884	97884	97884	97884	97884	62358	55804	49437	43271	37298	31519	25928	20536
Slovakia	100-Holding Account	Bratislavská teplárenská, a.s. 	11	35823542	open	Account holder	Bratislavská teplárenská, a.s.	Bajkalská 21/A		82905	Bratislava	Slovakia	11	Výhrevňa JUH	102-011-2012	2008-01-01			Bratislavská teplárenská, a.s.	1.1	Vlčie hrdlo		82107	Bratislava 214	SK	48.11	17.17	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	14000	7778	14000	8571	14000	1535	8571	2811	8571	4054	8571	6006	8571	1145	8571	3823	4058	2990	3565/12293*****	26143	3189/10978*****	26089	2825/9705*****	22667	2471/8472*****	NA	2129/7278*****	NA	1797/6121*****	NA	1478/5007*****	NA	14000	14000	14000	8571	8571	8571	8571	8571	4058	15858	14167	12530	10943	9407	7918	6485
