National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Slovenia	100-Holding Account	ENERGETIKA LJUBLJANA, D.O.O. 	1	5226406000	open	Account holder	ENERGETIKA LJUBLJANA, D.O.O.	Verovškova 62		SI-1000	Ljubljana	Slovenia	1	Energetika Ljubljana, d.o.o.	SI-35433-67-2004	2005-01-01					Verovškova 62		SI-1000	Ljubljana	SI	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	48845	50960	46888	57244	44930	45991	52263	43070	52263	52643	52263	41628	52263	42389	52263	44462	27776	36849	25404	39945	23098	37113	13391	38998	12251	NA	11145	NA	10071	NA	9031	NA	48845	46888	44930	52263	52263	52263	52263	52263	27776	25404	23098	13391	12251	11145	10071	9031
Slovenia	100-Holding Account	JAVNO PODJETJE ENERGETIKA MARIBOR D.O.O. 	2	5107199000	open	Account holder	JAVNO PODJETJE ENERGETIKA MARIBOR D.O.O.	Jadranska cesta 28		SI-2000	Maribor	Slovenia	2	JAVNO PODJETJE ENERGETIKA MARIBOR D.O.O.	SI-35433-31-2004	2005-01-01					Jadranska cesta 28		SI-2000	Maribor	SI	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	33100	31591	32021	22320	30943	18729	30595	20110	30595	21614	30595	23218	30595	20892	30595	20308	13655	19349	12220	7118	5413	7192	4738	9970	8168	NA	6902	NA	5677	NA	4497	NA	33100	32021	30943	30595	30595	30595	30595	30595	13655	12220	5413	4738	8168	6902	5677	4497
Slovenia	100-Holding Account	TEB D.O.O. BRESTANICA 	3	5033772000	open	Account holder	TEB D.O.O. BRESTANICA	Cesta prvih borcev 18		SI-8280	Brestanica	Slovenia	3	TEB d.o.o. Brestanica	SI-35433-62-2004	2005-01-01					Cesta prvih borcev 18		SI-8280	Brestanica	SI	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	86320	27995	82878	19951	79436	57448	65200	12817	65200	13088	65200	5754	65200	10663	65200	8843		4638		10422		9136		7009		NA		NA		NA		NA	86320	82878	79436	65200	65200	65200	65200	65200	0	0	0	0	0	0	0	0
Slovenia	100-Holding Account	TERMOELEKTRARNA ŠOŠTANJ D.O.O. 	4	5040388000	open	Account holder	TERMOELEKTRARNA ŠOŠTANJ D.O.O.	Cesta Lole Ribarja 18		SI-3325	Šoštanj	Slovenia	4	Termoelektrarna Šoštanj d.o.o.	SI-35433-54-2004	2005-01-01					Cesta Lole Ribarja 18		SI-3325	Šoštanj	SI	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	4740366	4622633	4465271	4662428	4190176	4906889	4300824	4798149	4300824	4573225	4300824	4775277	4300824	4676085	4300824	4547821	132157	4362082	110006	3530977	90334	3791039	73070	4148697	58102	NA	45335	NA	37967	NA	32042	NA	4740366	4465271	4190176	4300824	4300824	4300824	4300824	4300824	132157	110006	90334	73070	58102	45335	37967	32042
Slovenia	100-Holding Account	ENERGETIKA LJUBLJANA, d.o.o. 	5	5226406	open	Account holder	ENERGETIKA LJUBLJANA, d.o.o.	Verovškova 62		SI-1000	Ljubljana	Slovenia	5	TE-TOL, D.O.O.	SI-35433-61-2004	2005-01-01					Toplarniška 19		SI-1000	Ljubljana	SI	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	836237	858187	802940	809286	769642	809426	769556	826144	769556	701085	769556	756316	769556	721924	769556	670947	296268	649890	251596	584808	211208	565901	175009	576966	147906	NA	127310	NA	107370	NA	88133	NA	836237	802940	769642	769556	769556	769556	769556	769556	296268	251596	211208	175009	147906	127310	107370	88133
Slovenia	100-Holding Account	TET, d.o.o. - v lividaciji 	6	5035511000	open	Account holder	TET, d.o.o. - v lividaciji	Ob železnici 27		SI-1420	Trbovlje	Slovenia	6	TET, d.o.o.	SI-35433-40-2004	2005-01-01					Ob železnici 27		SI-1420	Trbovlje	SI	NA	NA	20-Combustion of fuels	NA	NA	NA	NA	NA	NA	743260	670750	713675	747600	684089	727309	681420	682625	681420	729965	681420	591297	681420	747089	681420	636131		553014		143390		232		276		NA		NA		NA		NA	743260	713675	684089	681420	681420	681420	681420	681420	0	0	0	0	0	0	0	0
Slovenia	100-Holding Account	SIJ ACRONI D.O.O. 	7	5688418000	open	Account holder	SIJ ACRONI D.O.O.	Cesta Borisa Kidriča 44		SI-4270	Jesenice	Slovenia	7	Acroni, d.o.o.	SI-35433-23-2004	2005-01-01					Cesta Borisa Kidriča 44		SI-4270	Jesenice	SI	NA	NA	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	87055	90638	83568	93006	80081	88300	91386	97418	91386	78144	91386	94564	91386	96067	91386	98538	99172	98746	97449	101921	95706	95712	93945	96288	92165	NA	90367	NA	88548	NA	86723	NA	87055	83568	80081	91386	91386	91386	91386	91386	99172	97449	95706	93945	92165	90367	88548	86723
Slovenia	100-Holding Account	METAL RAVNE, D.O.O. 	8	5686482000	open	Account holder	METAL RAVNE, D.O.O.	Koroška cesta 14		SI-2390	Ravne na Koroškem	Slovenia	8	Metal Ravne d.o.o.	SI-35433-82-2004	2005-01-01					Koroška cesta 14		SI-2390	Ravne na Koroškem	SI	NA	NA	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	58392	61131	55649	57770	52905	55275	55216	56146	55216	43356	55216	59791	55216	66226	55216	67187	56035	67897	55061	71218	54076	76202	53082	85558	52076	NA	51061	NA	50032	NA	49000	NA	58392	55649	52905	55216	55216	55216	55216	55216	56035	55061	54076	53082	52076	51061	50032	49000
Slovenia	100-Holding Account	ŠTORE STEEL D.O.O. 	9	1197967000	open	Account holder	ŠTORE STEEL D.O.O.	Železarska 3		SI-3220	Štore	Slovenia	9	ŠTORE STEEL D.O.O.	SI-35433-24-2004	2005-01-01					Železarska 3		SI-3220	Štore	SI	NA	NA	24-Production of pig iron or steel	NA	NA	NA	NA	NA	NA	29288	34306	28206	34758	27124	36578	28319	35090	28319	18005	28319	32644	28319	34934	28319	31676	31225	33462	30683	33387	30135	34441	29580	35642	29020	NA	28454	NA	27881	NA	27306	NA	29288	28206	27124	28319	28319	28319	28319	28319	31225	30683	30135	29580	29020	28454	27881	27306
Slovenia	100-Holding Account	SALONIT ANHOVO, D.D. 	10	5043816000	open	Account holder	SALONIT ANHOVO, D.D.	Anhovo 1		SI-5210	Deskle	Slovenia	10	Salonit Anhovo, d.d.	SI-35433-41-2004	2005-01-01					Anhovo 1		SI-5210	Deskle	SI	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	487039	432800	478567	470162	470095	532142	423819	608238	423819	479512	437819	369522	437819	392517	437819	437372	610399	402528	599786	496227	589050	534965	578200	524131	566674	NA	555624	NA	544436	NA	533209	NA	487039	478567	470095	423819	423819	437819	437819	437819	610399	599786	589050	578200	566674	555624	544436	533209
