National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Installation Type	Installation Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry Revocation Date	Subsidiary Company	Parent Company	E PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	Total_Allowance_Allocation_2005	Total_Allowance_Allocation_2006	Total_Allowance_Allocation_2007	Total_Allowance_Allocation_2008	Total_Allowance_Allocation_2009	Total_Allowance_Allocation_2010	Total_Allowance_Allocation_2011	Total_Allowance_Allocation_2012	Total_Allowance_Allocation_2013	Total_Allowance_Allocation_2014	Total_Allowance_Allocation_2015	Total_Allowance_Allocation_2016	Total_Allowance_Allocation_2017	Total_Allowance_Allocation_2018	Total_Allowance_Allocation_2019	Total_Allowance_Allocation_2020
Spain	100-Holding Account	Sierragres, S.A. 	1	A14481105	open	Account holder	Sierragres, S.A.	Pol. Ind. El Caño I, s/n		14220	Espiel  (Córdoba)	Spain	1	Sierragres, S.A.	ES011408000001	2005-06-09					Pol. Ind. El Caño I, s/n		14220	Espiel (Córdoba)	ES	NA	NA	32-Manufacture of ceramics	NA	NA	NA	NA	NA	NA	9360	6693	9360	6552	9360	6689	7099	6246	7099	4706	7099	5590	7099	5193	7099	2892	3113	3677	6078	2031	3005	1971	2949	1389	2894	NA	2837	NA	2780	NA	2722	NA	9360	9360	9360	7099	7099	7099	7099	7099	3113	6078	3005	2949	2894	2837	2780	2722
Spain	100-Holding Account	Andaluza de Cales, S.A. 	2	A41123555	open	Account holder	Andaluza de Cales, S.A.	Ctra. Moron-Montellano km 3		41530	Moron de la Frontera (Sevilla)	Spain	2	Andaluza de Cales, S.A.	ES014106000002	2005-06-09					Ctra. Morón-Montellano		41530	Morón de la Frontera (Sevilla)	ES	NA	NA	30-Production of lime, or calcination of dolomite/magnesite	NA	NA	NA	NA	NA	NA	204291	101964	204291	140122	204291	148094	201666	168649	201666	172308	201666	187083	201666	196446	201666	167043	161048	157814	158251	164592	155420	148020	152560	135629	149671	NA	146752	NA	143797	NA	140832	NA	204291	204291	204291	201666	201666	201666	201666	201666	161048	158251	155420	152560	149671	146752	143797	140832
Spain	100-Holding Account	Cales Granada, S.A. 	3	A18213264	open	Account holder	Cales Granada, S.A.	Avda Madrid, nº 3 2º C		18012	Granada (Granada)	Spain	3	Cales Granada S.A.	ES011806000003	2005-06-09		xx	xx		Ctra. de Murcia, km 268		18134	Huertor Santillán (Granada)	ES	NA	NA	30-Production of lime, or calcination of dolomite/magnesite	NA	NA	NA	NA	NA	NA	38535	35245	38535	31384	38535	24029	37290	25044	37290	18568	37290	30703	37290	17247	37290	13766	26290	17489	25833	14372	25371	22109	24904	22485	24432	NA	23956	NA	23474	NA	22990	NA	38535	38535	38535	37290	37290	37290	37290	37290	26290	25833	25371	24904	24432	23956	23474	22990
Spain	100-Holding Account	Calgov, S.A. 	4	A18096875	closed	Account holder	Calgov, S.A.	Ctra. Fuentes Santiago, km 2,5		41560	Estepa (Sevilla)	Spain	4	Calgov, S.A.	ES014106000004	2005-06-09	2016-04-26	xx	xx		Pozo de Albujea, nº 1		41560	Estepa(Sevilla)	ES	NA	NA	30-Production of lime, or calcination of dolomite/magnesite	NA	NA	NA	NA	NA	NA	28837	25536	28837	25740	28837	27858	25072	27934	25072	22781	25072	20129	25072	20543	25072	18092	15061	16393	14799	3017	3634	0	0		0	NA	0	NA	0	NA	0	NA	28837	28837	28837	25072	25072	25072	25072	25072	15061	14799	3634	0	0	0	0	0
Spain	100-Holding Account	Calgov, S.A. 	5	A18096875	open	Account holder	Calgov, S.A.	Ctra. Fuentes Santiago, km 2,5		41560	Estepa (Sevilla)	Spain	5	Calgov S.A.	ES014106000005	2005-06-09		xx	xx		Ctra. Fuente de Santiago, km 2,5		41560	Estepa (Sevilla)	ES	NA	NA	30-Production of lime, or calcination of dolomite/magnesite	NA	NA	NA	NA	NA	NA	156028	131261	156028	144796	156028	150008	149738	141455	149738	147827	149738	136281	149738	152804	149738	116059	123189	125033	121050	121123	118885	157588	116697	168105	114486	NA	112254	NA	109993	NA	107725	NA	156028	156028	156028	149738	149738	149738	149738	149738	123189	121050	118885	116697	114486	112254	109993	107725
Spain	100-Holding Account	Segura, S.L. 	6	B41350794	open	Account holder	Segura, S.L.	Mina Matagallar s/n, apdo de correos nº 403		41566	Pedrera (Sevilla)	Spain	6	Segura, S.L.	ES014106000006	2005-06-09	2014-09-23				Mina Matagallar s/n, apdo de correos nº 403		41566	Pedrera (Sevilla)	ES	NA	NA	30-Production of lime, or calcination of dolomite/magnesite	NA	NA	NA	NA	NA	NA	82867	85368	82867	77507	82867	78026	80979	59071	80979	44337	80979	52667	80979	3282	80979	21381	78549	0	0		0		0		0	NA	0	NA	0	NA	0	NA	82867	82867	82867	80979	80979	80979	80979	80979	78549	0	0	0	0	0	0	0
Spain	100-Holding Account	Cementos Portland Valderrivas, S.A. 	7	A31000268	open	Account holder	Cementos Portland Valderrivas, S.A.	C/ Dormitaleria, nº 72		31001	Pamplona (Navarra)	Spain	7	Cementos Portland Valderrivas - Alcalá de Guadaira	ES014106000007	2005-06-09			Cementos Portland Valderrivas, S.A.		Autovía Sevilla-Málaga, km 7,4		41500	Alcala de Guadaira (Sevilla)	ES	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	1014652	998886	1014652	1010678	1014652	1031509	1006295	971155	1006295	730411	1006295	671664	1006295	658529	1006295	526792	853801	297732	419486	334329	411984	508529	808807	665280	793483	NA	778010	NA	762344	NA	746624	NA	1014652	1014652	1014652	1006295	1006295	1006295	1006295	1006295	853801	419486	411984	808807	793483	778010	762344	746624
Spain	100-Holding Account	Holcim España, S.A 	8	A28143678	closed	Account holder	Holcim España, S.A	C/ Orense, 70, 8ª Plta.		28020	Madrid (Madrid)	Spain	8	Holcim España S.A.	ES012306000008	2005-06-09	2011-07-07				Carretera de Jaén s/n		23650	Torredonjimeno (Jaén)	ES	NA	NA	6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces	NA	NA	NA	NA	NA	NA	208125	209555	208125	201778	208125	210328	212316	132033	212316	0	0	0	0		0											NA		NA		NA		NA	208125	208125	208125	212316	212316	0	0	0	0	0	0	0	0	0	0	0
Spain	100-Holding Account	Holcim España, S.A 	9	A28143678	open	Account holder	Holcim España, S.A	C/ Orense, 70, 8ª Plta.		28020	Madrid (Madrid)	Spain	9	Instalación de Jerez de la Frontera	ES011106000009	2005-06-09					Carretera Medina Sidonia, Km 9		11480	Jerez de la Frontera (Cádiz)	ES	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	578050	587364	578050	544850	578050	546596	590502	472954	590502	333542	590502	378499	590502	176898	590502	152768	239060	379665	469815	480238	461412	464540	452923	468498	444342	NA	435677	NA	426904	NA	418101	NA	578050	578050	578050	590502	590502	590502	590502	590502	239060	469815	461412	452923	444342	435677	426904	418101
Spain	100-Holding Account	Holcim España, S.A 	10	A28143678	open	Account holder	Holcim España, S.A	C/ Orense, 70, 8ª Plta.		28020	Madrid (Madrid)	Spain	10	Holcim España, S.A.- Instalación de Carboneras	ES010406000010	2005-06-09					Rambla Olivera s/n		04140	Carboneras (Almería)	ES	NA	NA	29-Production of cement clinker	NA	NA	NA	NA	NA	NA	842805	909245	842805	805846	842805	845519	901872	766518	901872	560981	901872	623049	901872	625010	901872	654455	741377	828069	728500	776188	715472	784003	702307	761445	689001	NA	675566	NA	661963	NA	648312	NA	842805	842805	842805	901872	901872	901872	901872	901872	741377	728500	715472	702307	689001	675566	661963	648312
